oracle,iterations,oracle_episodes,total_episodes,seed,final_full_exploitability,trace,wall_clock_s
tabular_q,30,10000,300000,2,0.036482,0:0.458333;1:0.166667;2:0.154407;3:0.097730;4:0.101663;5:0.056753;6:0.078530;7:0.064739;8:0.026967;9:0.041127;10:0.078126;11:0.039307;12:0.044638;13:0.056284;14:0.056284;15:0.059182;16:0.080086;17:0.047094;18:0.064680;19:0.116872;20:0.086479;21:0.085392;22:0.085392;23:0.028365;24:0.036761;25:0.036761;26:0.036482;27:0.036482;28:0.036482;29:0.036482,238.7
tabular_q,30,10000,300000,3,0.021982,0:0.458333;1:0.250000;2:0.219324;3:0.123793;4:0.154600;5:0.082271;6:0.040478;7:0.097772;8:0.061968;9:0.061968;10:0.056719;11:0.056719;12:0.052490;13:0.050789;14:0.050434;15:0.050434;16:0.029265;17:0.027015;18:0.027015;19:0.027015;20:0.027015;21:0.031189;22:0.022129;23:0.024518;24:0.026569;25:0.023600;26:0.022203;27:0.023308;28:0.023308;29:0.021982,243.0
tabular_q,30,10000,300000,4,0.027440,0:0.458333;1:0.250000;2:0.221618;3:0.187222;4:0.333333;5:0.083333;6:0.083333;7:0.083333;8:0.083333;9:0.083333;10:0.035499;11:0.025930;12:0.008364;13:0.012294;14:0.020527;15:0.020527;16:0.020527;17:0.022373;18:0.023585;19:0.023585;20:0.023585;21:0.023585;22:0.023585;23:0.023585;24:0.023553;25:0.023553;26:0.023553;27:0.023553;28:0.023561;29:0.027440,240.0
tabular_q,60,5000,300000,0,0.018321,0:0.458333;1:0.416667;2:0.166667;3:0.220542;4:0.103613;5:0.082945;6:0.073895;7:0.073760;8:0.108462;9:0.108462;10:0.064980;11:0.051825;12:0.068658;13:0.068658;14:0.068658;15:0.068658;16:0.052492;17:0.052492;18:0.052492;19:0.050373;20:0.051495;21:0.051495;22:0.051495;23:0.051495;24:0.051495;25:0.051495;26:0.051587;27:0.021491;28:0.026223;29:0.025743;30:0.029015;31:0.034905;32:0.029005;33:0.029005;34:0.029005;35:0.026572;36:0.026572;37:0.026572;38:0.028299;39:0.028296;40:0.028296;41:0.029212;42:0.026425;43:0.023520;44:0.011403;45:0.022801;46:0.022801;47:0.022801;48:0.026952;49:0.026952;50:0.026952;51:0.026952;52:0.026952;53:0.026952;54:0.026952;55:0.026952;56:0.026952;57:0.026952;58:0.026952;59:0.018321,682.4
tabular_q,60,5000,300000,1,0.011587,0:0.458333;1:0.166667;2:0.266789;3:0.049407;4:0.045716;5:0.074371;6:0.074371;7:0.026461;8:0.038777;9:0.046123;10:0.122234;11:0.133586;12:0.027346;13:0.034673;14:0.033488;15:0.033488;16:0.034413;17:0.042028;18:0.042028;19:0.042028;20:0.036884;21:0.036884;22:0.028792;23:0.028792;24:0.028792;25:0.028792;26:0.041879;27:0.034777;28:0.034777;29:0.036961;30:0.036961;31:0.036961;32:0.033691;33:0.030364;34:0.030364;35:0.030364;36:0.032180;37:0.039593;38:0.039593;39:0.034165;40:0.034165;41:0.034203;42:0.034203;43:0.034203;44:0.034203;45:0.034203;46:0.036942;47:0.030218;48:0.018944;49:0.018459;50:0.017900;51:0.017519;52:0.017519;53:0.017519;54:0.017292;55:0.012617;56:0.012617;57:0.012617;58:0.011587;59:0.011587,688.2
tabular_q,60,5000,300000,2,0.019529,0:0.458333;1:0.166667;2:0.225072;3:0.281973;4:0.052851;5:0.052235;6:0.054799;7:0.054755;8:0.095209;9:0.025864;10:0.023489;11:0.036459;12:0.036459;13:0.036459;14:0.036459;15:0.036459;16:0.027784;17:0.020230;18:0.022421;19:0.033758;20:0.038778;21:0.038778;22:0.013064;23:0.021804;24:0.021804;25:0.021804;26:0.021804;27:0.045012;28:0.045012;29:0.023709;30:0.022841;31:0.022841;32:0.022841;33:0.022841;34:0.022841;35:0.026543;36:0.026543;37:0.026543;38:0.036208;39:0.023494;40:0.023494;41:0.023494;42:0.023494;43:0.023494;44:0.023494;45:0.028642;46:0.031413;47:0.031760;48:0.036169;49:0.036169;50:0.036169;51:0.031895;52:0.031895;53:0.031895;54:0.031895;55:0.031895;56:0.030700;57:0.029854;58:0.019529;59:0.019529,688.9
tabular_q,15,20000,300000,1,0.047057,0:0.458333;1:0.166667;2:0.221376;3:0.193231;4:0.269910;5:0.208724;6:0.101400;7:0.115053;8:0.112350;9:0.105816;10:0.108566;11:0.105367;12:0.105367;13:0.105367;14:0.047057,127.4
tabular_q,6,50000,300000,0,0.102164,0:0.458333;1:0.333333;2:0.271239;3:0.159272;4:0.156040;5:0.102164,96.9
tabular_q,15,20000,300000,2,0.129394,0:0.458333;1:0.166667;2:0.212928;3:0.185490;4:0.169473;5:0.021536;6:0.021536;7:0.025052;8:0.124138;9:0.102517;10:0.102517;11:0.129394;12:0.129394;13:0.129394;14:0.129394,125.4
tabular_q,6,50000,300000,1,0.124812,0:0.458333;1:0.333333;2:0.390191;3:0.071182;4:0.092801;5:0.124812,94.8
tabular_q,15,20000,300000,3,0.037145,0:0.458333;1:0.250000;2:0.183679;3:0.141217;4:0.166667;5:0.195501;6:0.195932;7:0.201212;8:0.163171;9:0.112263;10:0.136028;11:0.144211;12:0.126029;13:0.126029;14:0.037145,126.8
tabular_q,15,20000,300000,4,0.026708,0:0.458333;1:0.166667;2:0.222326;3:0.150692;4:0.150637;5:0.162258;6:0.175702;7:0.204145;8:0.124898;9:0.131409;10:0.034310;11:0.048966;12:0.048966;13:0.057891;14:0.026708,126.0
tabular_q,6,50000,300000,2,0.165564,0:0.458333;1:0.333333;2:0.256388;3:0.230752;4:0.162851;5:0.165564,93.9
tabular_q,6,50000,300000,3,0.076444,0:0.458333;1:0.250000;2:0.393140;3:0.121442;4:0.194503;5:0.076444,94.0
tabular_q,6,50000,300000,4,0.172191,0:0.458333;1:0.291667;2:0.162617;3:0.174013;4:0.127810;5:0.172191,97.5
tabular_q,3,100000,300000,0,0.223636,0:0.458333;1:0.291667;2:0.223636,95.3
tabular_q,3,100000,300000,1,0.250000,0:0.458333;1:0.166667;2:0.250000,90.1
tabular_q,3,100000,300000,2,0.182403,0:0.458333;1:0.250000;2:0.182403,90.4
tabular_q,3,100000,300000,3,0.252199,0:0.458333;1:0.375000;2:0.252199,95.1
tabular_q,3,100000,300000,4,0.161073,0:0.458333;1:0.250000;2:0.161073,92.1
tabular_q,60,5000,300000,3,0.027365,0:0.458333;1:0.333333;2:0.166667;3:0.229380;4:0.097223;5:0.107166;6:0.097850;7:0.070500;8:0.071137;9:0.073708;10:0.074941;11:0.074941;12:0.075810;13:0.075810;14:0.068460;15:0.065514;16:0.065514;17:0.049599;18:0.062929;19:0.061226;20:0.061226;21:0.055724;22:0.039899;23:0.039899;24:0.039899;25:0.039899;26:0.038877;27:0.052994;28:0.053103;29:0.063391;30:0.063391;31:0.062596;32:0.041370;33:0.041370;34:0.025550;35:0.015824;36:0.015824;37:0.015824;38:0.019699;39:0.019699;40:0.024072;41:0.024072;42:0.017434;43:0.017434;44:0.017434;45:0.018735;46:0.019529;47:0.018613;48:0.018613;49:0.018613;50:0.018613;51:0.018613;52:0.022569;53:0.024548;54:0.023315;55:0.023315;56:0.023596;57:0.024393;58:0.024393;59:0.027365,688.5
tabular_q,60,5000,300000,4,0.030774,0:0.458333;1:0.333333;2:0.191677;3:0.132807;4:0.108554;5:0.086694;6:0.167171;7:0.119825;8:0.105237;9:0.118501;10:0.118501;11:0.118501;12:0.206980;13:0.095156;14:0.051743;15:0.044708;16:0.056621;17:0.056621;18:0.047697;19:0.047697;20:0.046829;21:0.032481;22:0.032481;23:0.032481;24:0.032481;25:0.053204;26:0.045206;27:0.043630;28:0.043630;29:0.031588;30:0.031588;31:0.030156;32:0.030156;33:0.030156;34:0.034612;35:0.034612;36:0.034612;37:0.034612;38:0.034612;39:0.034612;40:0.034612;41:0.034612;42:0.034612;43:0.032687;44:0.032687;45:0.032687;46:0.032687;47:0.038921;48:0.038921;49:0.030774;50:0.030774;51:0.030774;52:0.030774;53:0.030774;54:0.030774;55:0.030774;56:0.030774;57:0.030774;58:0.030774;59:0.030774,664.8
ppo,60,5000,300000,0,0.297461,0:0.458333;1:0.325118;2:0.315723;3:0.298057;4:0.290869;5:0.273216;6:0.277294;7:0.277294;8:0.277294;9:0.281582;10:0.280991;11:0.280991;12:0.288061;13:0.292957;14:0.291579;15:0.293508;16:0.293508;17:0.294692;18:0.300007;19:0.298404;20:0.289648;21:0.289648;22:0.289648;23:0.289648;24:0.289648;25:0.292905;26:0.295103;27:0.295103;28:0.288989;29:0.288989;30:0.294246;31:0.294246;32:0.294246;33:0.300125;34:0.300125;35:0.294314;36:0.294314;37:0.294314;38:0.294314;39:0.294314;40:0.294314;41:0.292679;42:0.292465;43:0.292465;44:0.290558;45:0.292464;46:0.292464;47:0.292464;48:0.292464;49:0.297397;50:0.297397;51:0.294485;52:0.299805;53:0.297084;54:0.297084;55:0.297084;56:0.297084;57:0.297084;58:0.297084;59:0.297461,5261.9
ppo,60,5000,300000,1,0.291331,0:0.458333;1:0.320913;2:0.316857;3:0.316857;4:0.303512;5:0.304948;6:0.304948;7:0.304948;8:0.300487;9:0.300487;10:0.300487;11:0.300620;12:0.300620;13:0.300620;14:0.300620;15:0.301048;16:0.299201;17:0.299201;18:0.299201;19:0.302339;20:0.302339;21:0.302339;22:0.298711;23:0.298711;24:0.298711;25:0.297429;26:0.297429;27:0.297605;28:0.297605;29:0.297605;30:0.297709;31:0.294451;32:0.294451;33:0.294451;34:0.294451;35:0.295623;36:0.297582;37:0.297582;38:0.297954;39:0.299660;40:0.299660;41:0.299660;42:0.299339;43:0.300325;44:0.297792;45:0.293552;46:0.290551;47:0.290551;48:0.290431;49:0.290431;50:0.290431;51:0.290431;52:0.288663;53:0.290073;54:0.290073;55:0.291331;56:0.291331;57:0.291331;58:0.291331;59:0.291331,5295.8
ppo,60,5000,300000,2,0.293943,0:0.458333;1:0.321988;2:0.314903;3:0.314903;4:0.285563;5:0.285563;6:0.298428;7:0.298428;8:0.298428;9:0.302340;10:0.295465;11:0.295465;12:0.282676;13:0.282676;14:0.287974;15:0.287497;16:0.281398;17:0.282880;18:0.288049;19:0.288049;20:0.288049;21:0.288049;22:0.289793;23:0.284566;24:0.284566;25:0.284566;26:0.284566;27:0.287636;28:0.287636;29:0.287636;30:0.287636;31:0.287636;32:0.287847;33:0.281428;34:0.286919;35:0.286919;36:0.286919;37:0.288204;38:0.288204;39:0.288204;40:0.288204;41:0.288204;42:0.287396;43:0.287396;44:0.287396;45:0.284548;46:0.284548;47:0.284548;48:0.283865;49:0.283865;50:0.283865;51:0.284053;52:0.284053;53:0.284053;54:0.284053;55:0.284270;56:0.284270;57:0.284270;58:0.284270;59:0.293943,5340.3
ppo,60,5000,300000,4,0.280355,0:0.458333;1:0.315617;2:0.322725;3:0.293511;4:0.293573;5:0.293573;6:0.293573;7:0.293573;8:0.293573;9:0.293817;10:0.293817;11:0.286965;12:0.286965;13:0.286965;14:0.286965;15:0.286965;16:0.286965;17:0.286965;18:0.293233;19:0.293233;20:0.293233;21:0.293233;22:0.293233;23:0.292844;24:0.292844;25:0.292844;26:0.292844;27:0.292817;28:0.292817;29:0.290134;30:0.290134;31:0.285594;32:0.284637;33:0.284637;34:0.278503;35:0.278503;36:0.278503;37:0.278503;38:0.280781;39:0.280781;40:0.280781;41:0.280993;42:0.278787;43:0.278787;44:0.278787;45:0.278787;46:0.278787;47:0.281087;48:0.281087;49:0.281203;50:0.281203;51:0.281203;52:0.281203;53:0.281203;54:0.280724;55:0.280584;56:0.280584;57:0.280584;58:0.280584;59:0.280355,5380.4
ppo,60,5000,300000,3,0.298790,0:0.458333;1:0.319507;2:0.304632;3:0.302816;4:0.302816;5:0.302437;6:0.306696;7:0.306696;8:0.306696;9:0.295804;10:0.297398;11:0.288109;12:0.288109;13:0.288109;14:0.289953;15:0.289953;16:0.289953;17:0.289953;18:0.289953;19:0.289953;20:0.288324;21:0.288510;22:0.288510;23:0.288510;24:0.291598;25:0.291598;26:0.291598;27:0.282058;28:0.282058;29:0.282058;30:0.282058;31:0.282058;32:0.291397;33:0.297332;34:0.297332;35:0.297332;36:0.297332;37:0.295894;38:0.298313;39:0.297553;40:0.297553;41:0.297553;42:0.296239;43:0.296239;44:0.296383;45:0.296810;46:0.299131;47:0.296962;48:0.296301;49:0.296301;50:0.296301;51:0.296301;52:0.296301;53:0.296301;54:0.296301;55:0.297042;56:0.297042;57:0.297042;58:0.298853;59:0.298790,5439.8
