meta_solver,oracle,seed,iteration,full_exploitability,runtime_s
uniform,ppo,2,5,0.192339,766.8
uniform,ppo,2,6,0.174660,766.8
uniform,ppo,2,7,0.161764,766.8
uniform,ppo,2,8,0.153686,766.8
uniform,ppo,2,9,0.145565,766.8
uniform,ppo,2,10,0.139193,766.8
uniform,ppo,2,11,0.136932,766.8
uniform,ppo,2,12,0.143357,766.8
uniform,ppo,2,13,0.149317,766.8
uniform,ppo,2,14,0.153655,766.8
nash,ppo,0,0,0.458333,816.2
nash,ppo,0,1,0.303141,816.2
nash,ppo,0,2,0.154151,816.2
nash,ppo,0,3,0.173247,816.2
nash,ppo,0,4,0.094642,816.2
nash,ppo,0,5,0.145629,816.2
nash,ppo,0,6,0.126472,816.2
nash,ppo,0,7,0.139905,816.2
nash,ppo,0,8,0.139905,816.2
nash,ppo,0,9,0.139905,816.2
nash,ppo,0,10,0.164391,816.2
nash,ppo,0,11,0.134556,816.2
nash,ppo,0,12,0.133899,816.2
nash,ppo,0,13,0.133899,816.2
nash,ppo,0,14,0.133899,816.2
nash,ppo,1,0,0.458333,773.1
nash,ppo,1,1,0.299519,773.1
nash,ppo,1,2,0.151489,773.1
nash,ppo,1,3,0.167725,773.1
nash,ppo,1,4,0.149110,773.1
nash,ppo,1,5,0.139039,773.1
nash,ppo,1,6,0.127890,773.1
nash,ppo,1,7,0.128593,773.1
nash,ppo,1,8,0.114242,773.1
nash,ppo,1,9,0.120437,773.1
nash,ppo,1,10,0.125389,773.1
nash,ppo,1,11,0.108778,773.1
nash,ppo,1,12,0.108778,773.1
nash,ppo,1,13,0.108778,773.1
nash,ppo,1,14,0.108778,773.1
nash,ppo,2,0,0.458333,734.8
nash,ppo,2,1,0.311136,734.8
nash,ppo,2,2,0.150277,734.8
nash,ppo,2,3,0.096358,734.8
nash,ppo,2,4,0.108948,734.8
nash,ppo,2,5,0.105124,734.8
nash,ppo,2,6,0.105124,734.8
nash,ppo,2,7,0.105124,734.8
nash,ppo,2,8,0.105124,734.8
nash,ppo,2,9,0.104609,734.8
nash,ppo,2,10,0.103775,734.8
nash,ppo,2,11,0.102727,734.8
nash,ppo,2,12,0.102727,734.8
nash,ppo,2,13,0.102727,734.8
nash,ppo,2,14,0.105006,734.8
