meta_solver,seed,iteration,full_exploitability,runtime_s
alpha_rank,0,3,0.165237,115.0
alpha_rank,0,4,0.110487,115.0
alpha_rank,0,5,0.073708,115.0
alpha_rank,0,6,0.093572,115.0
alpha_rank,0,7,0.090238,115.0
alpha_rank,0,8,0.105161,115.0
alpha_rank,0,9,0.080685,115.0
alpha_rank,0,10,0.098683,115.0
alpha_rank,0,11,0.115609,115.0
alpha_rank,0,12,0.116747,115.0
alpha_rank,0,13,0.127604,115.0
alpha_rank,0,14,0.099582,115.0
alpha_rank,1,0,0.458333,114.6
alpha_rank,1,1,0.166667,114.6
alpha_rank,1,2,0.131896,114.6
alpha_rank,1,3,0.159846,114.6
alpha_rank,1,4,0.110365,114.6
alpha_rank,1,5,0.119872,114.6
alpha_rank,1,6,0.108049,114.6
alpha_rank,1,7,0.118185,114.6
alpha_rank,1,8,0.125094,114.6
alpha_rank,1,9,0.130570,114.6
alpha_rank,1,10,0.167902,114.6
alpha_rank,1,11,0.123471,114.6
alpha_rank,1,12,0.103339,114.6
alpha_rank,1,13,0.081226,114.6
alpha_rank,1,14,0.079143,114.6
alpha_rank,2,0,0.458333,114.8
alpha_rank,2,1,0.166667,114.8
alpha_rank,2,2,0.241520,114.8
alpha_rank,2,3,0.166667,114.8
alpha_rank,2,4,0.185202,114.8
alpha_rank,2,5,0.125864,114.8
alpha_rank,2,6,0.126258,114.8
alpha_rank,2,7,0.144687,114.8
alpha_rank,2,8,0.130563,114.8
alpha_rank,2,9,0.140112,114.8
alpha_rank,2,10,0.148365,114.8
alpha_rank,2,11,0.126206,114.8
alpha_rank,2,12,0.106798,114.8
alpha_rank,2,13,0.113374,114.8
alpha_rank,2,14,0.102673,114.8
alpha_rank,3,0,0.458333,114.1
alpha_rank,3,1,0.250000,114.1
alpha_rank,3,2,0.179524,114.1
alpha_rank,3,3,0.166667,114.1
alpha_rank,3,4,0.136979,114.1
alpha_rank,3,5,0.151274,114.1
alpha_rank,3,6,0.121217,114.1
alpha_rank,3,7,0.127325,114.1
alpha_rank,3,8,0.132998,114.1
alpha_rank,3,9,0.141829,114.1
alpha_rank,3,10,0.144953,114.1
alpha_rank,3,11,0.146107,114.1
alpha_rank,3,12,0.148770,114.1
alpha_rank,3,13,0.135616,114.1
alpha_rank,3,14,0.160974,114.1
alpha_rank,4,0,0.458333,115.4
alpha_rank,4,1,0.166667,115.4
alpha_rank,4,2,0.133728,115.4
alpha_rank,4,3,0.171773,115.4
alpha_rank,4,4,0.169262,115.4
alpha_rank,4,5,0.175149,115.4
alpha_rank,4,6,0.172661,115.4
alpha_rank,4,7,0.168440,115.4
alpha_rank,4,8,0.188440,115.4
