game,diversity_coef,seed,iteration,full_exploitability,runtime_s
cyclic,0.0,0,11,0.042763,298.6
cyclic,0.0,1,0,0.000000,279.4
cyclic,0.0,1,1,0.089937,279.4
cyclic,0.0,1,2,0.071686,279.4
cyclic,0.0,1,3,0.051266,279.4
cyclic,0.0,1,4,0.052161,279.4
cyclic,0.0,1,5,0.033669,279.4
cyclic,0.0,1,6,0.044986,279.4
cyclic,0.0,1,7,0.067254,279.4
cyclic,0.0,1,8,0.055358,279.4
cyclic,0.0,1,9,0.066564,279.4
cyclic,0.0,1,10,0.066564,279.4
cyclic,0.0,1,11,0.066161,279.4
cyclic,0.0,2,0,0.000000,278.5
cyclic,0.0,2,1,0.000000,278.5
cyclic,0.0,2,2,0.000000,278.5
cyclic,0.0,2,3,0.127105,278.5
cyclic,0.0,2,4,0.198527,278.5
cyclic,0.0,2,5,0.071283,278.5
cyclic,0.0,2,6,0.078102,278.5
cyclic,0.0,2,7,0.052271,278.5
cyclic,0.0,2,8,0.083052,278.5
cyclic,0.0,2,9,0.090586,278.5
cyclic,0.0,2,10,0.119882,278.5
cyclic,0.0,2,11,0.050633,278.5
cyclic,0.0,3,0,0.000000,297.7
cyclic,0.0,3,1,0.072971,297.7
cyclic,0.0,3,2,0.238870,297.7
cyclic,0.0,3,3,0.078150,297.7
cyclic,0.0,3,4,0.051818,297.7
cyclic,0.0,3,5,0.096471,297.7
cyclic,0.0,3,6,0.147376,297.7
cyclic,0.0,3,7,0.093750,297.7
cyclic,0.0,3,8,0.058002,297.7
cyclic,0.0,3,9,0.041266,297.7
cyclic,0.0,3,10,0.035558,297.7
cyclic,0.0,3,11,0.036868,297.7
cyclic,0.0,4,0,0.000000,288.1
cyclic,0.0,4,1,0.000000,288.1
cyclic,0.0,4,2,0.164647,288.1
cyclic,0.0,4,3,0.087213,288.1
cyclic,0.0,4,4,0.248566,288.1
cyclic,0.0,4,5,0.096300,288.1
cyclic,0.0,4,6,0.087461,288.1
cyclic,0.0,4,7,0.050278,288.1
cyclic,0.0,4,8,0.056209,288.1
cyclic,0.0,4,9,0.083000,288.1
cyclic,0.0,4,10,0.097340,288.1
cyclic,0.0,4,11,0.051223,288.1
cyclic,1.0,0,0,0.000000,724.0
cyclic,1.0,0,1,0.094573,724.0
cyclic,1.0,0,2,0.134467,724.0
cyclic,1.0,0,3,0.035480,724.0
cyclic,1.0,0,4,0.078946,724.0
cyclic,1.0,0,5,0.418427,724.0
cyclic,1.0,0,6,0.046949,724.0
cyclic,1.0,0,7,0.075736,724.0
cyclic,1.0,0,8,0.079686,724.0
cyclic,1.0,0,9,0.048126,724.0
cyclic,1.0,0,10,0.124113,724.0
cyclic,1.0,0,11,0.102968,724.0
cyclic,1.0,1,0,0.000000,730.1
cyclic,1.0,1,1,0.088734,730.1
cyclic,1.0,1,2,0.045982,730.1
cyclic,1.0,1,3,0.088920,730.1
cyclic,1.0,1,4,0.289611,730.1
cyclic,1.0,1,5,0.098300,730.1
cyclic,1.0,1,6,0.035452,730.1
cyclic,1.0,1,7,0.046292,730.1
cyclic,1.0,1,8,0.044999,730.1
cyclic,1.0,1,9,0.031043,730.1
cyclic,1.0,1,10,0.027638,730.1
cyclic,1.0,1,11,0.027638,730.1
cyclic,1.0,2,0,0.000000,699.0
cyclic,1.0,2,1,0.000000,699.0
cyclic,1.0,2,2,0.000000,699.0
cyclic,1.0,2,3,0.129712,699.0
cyclic,1.0,2,4,0.412032,699.0
cyclic,1.0,2,5,0.176691,699.0
cyclic,1.0,2,6,0.106246,699.0
cyclic,1.0,2,7,0.119908,699.0
cyclic,1.0,2,8,0.133545,699.0
cyclic,1.0,2,9,0.044055,699.0
cyclic,1.0,2,10,0.065834,699.0
cyclic,1.0,2,11,0.077523,699.0
cyclic,1.0,3,0,0.000000,728.4
cyclic,1.0,3,1,0.068979,728.4
cyclic,1.0,3,2,0.227329,728.4
cyclic,1.0,3,3,0.073926,728.4
cyclic,1.0,3,4,0.330725,728.4
cyclic,1.0,3,5,0.245908,728.4
cyclic,1.0,3,6,0.083424,728.4
cyclic,1.0,3,7,0.074365,728.4
cyclic,1.0,3,8,0.053995,728.4
cyclic,1.0,3,9,0.063882,728.4
cyclic,1.0,3,10,0.034151,728.4
cyclic,1.0,3,11,0.034151,728.4
cyclic,1.0,4,0,0.000000,713.7
cyclic,1.0,4,1,0.000000,713.7
cyclic,1.0,4,2,0.026938,713.7
cyclic,1.0,4,3,0.105716,713.7
cyclic,1.0,4,4,0.121737,713.7
cyclic,1.0,4,5,0.100881,713.7
cyclic,1.0,4,6,0.071878,713.7
cyclic,1.0,4,7,0.040273,713.7
cyclic,1.0,4,8,0.041716,713.7
cyclic,1.0,4,9,0.072507,713.7
cyclic,1.0,4,10,0.107274,713.7
cyclic,1.0,4,11,0.062733,713.7
