iteration,p0_avg_rock,p0_avg_paper,p0_avg_scissors,p1_avg_rock,p1_avg_paper,p1_avg_scissors,p0_best_response,p1_best_response,full_exploitability
71,0.319444,0.305556,0.375000,0.319444,0.305556,0.375000,0,0,6.944444e-02
72,0.328767,0.301370,0.369863,0.328767,0.301370,0.369863,0,0,6.849315e-02
73,0.337838,0.297297,0.364865,0.337838,0.297297,0.364865,0,0,6.756757e-02
74,0.346667,0.293333,0.360000,0.346667,0.293333,0.360000,0,0,6.666667e-02
75,0.355263,0.289474,0.355263,0.355263,0.289474,0.355263,0,0,6.578947e-02
76,0.363636,0.285714,0.350649,0.363636,0.285714,0.350649,0,0,6.493506e-02
77,0.371795,0.282051,0.346154,0.371795,0.282051,0.346154,0,0,6.410256e-02
78,0.379747,0.278481,0.341772,0.379747,0.278481,0.341772,0,0,6.329114e-02
79,0.387500,0.275000,0.337500,0.387500,0.275000,0.337500,0,0,6.250000e-02
80,0.395062,0.271605,0.333333,0.395062,0.271605,0.333333,0,0,6.172840e-02
81,0.402439,0.268293,0.329268,0.402439,0.268293,0.329268,0,0,7.317073e-02
82,0.397590,0.277108,0.325301,0.397590,0.277108,0.325301,1,1,7.228916e-02
83,0.392857,0.285714,0.321429,0.392857,0.285714,0.321429,1,1,7.142857e-02
84,0.388235,0.294118,0.317647,0.388235,0.294118,0.317647,1,1,7.058824e-02
85,0.383721,0.302326,0.313953,0.383721,0.302326,0.313953,1,1,6.976744e-02
86,0.379310,0.310345,0.310345,0.379310,0.310345,0.310345,1,1,6.896552e-02
87,0.375000,0.318182,0.306818,0.375000,0.318182,0.306818,1,1,6.818182e-02
88,0.370787,0.325843,0.303371,0.370787,0.325843,0.303371,1,1,6.741573e-02
89,0.366667,0.333333,0.300000,0.366667,0.333333,0.300000,1,1,6.666667e-02
90,0.362637,0.340659,0.296703,0.362637,0.340659,0.296703,1,1,6.593407e-02
91,0.358696,0.347826,0.293478,0.358696,0.347826,0.293478,1,1,6.521739e-02
92,0.354839,0.354839,0.290323,0.354839,0.354839,0.290323,1,1,6.451613e-02
93,0.351064,0.361702,0.287234,0.351064,0.361702,0.287234,1,1,6.382979e-02
94,0.347368,0.368421,0.284211,0.347368,0.368421,0.284211,1,1,6.315789e-02
95,0.343750,0.375000,0.281250,0.343750,0.375000,0.281250,1,1,6.250000e-02
96,0.340206,0.381443,0.278351,0.340206,0.381443,0.278351,1,1,6.185567e-02
97,0.336735,0.387755,0.275510,0.336735,0.387755,0.275510,1,1,6.122449e-02
98,0.333333,0.393939,0.272727,0.333333,0.393939,0.272727,1,1,6.060606e-02
99,0.330000,0.400000,0.270000,0.330000,0.400000,0.270000,1,1,7.000000e-02
100,0.326733,0.396040,0.277228,0.326733,0.396040,0.277228,2,2,6.930693e-02
101,0.323529,0.392157,0.284314,0.323529,0.392157,0.284314,2,2,6.862745e-02
102,0.320388,0.388350,0.291262,0.320388,0.388350,0.291262,2,2,6.796117e-02
103,0.317308,0.384615,0.298077,0.317308,0.384615,0.298077,2,2,6.730769e-02
104,0.314286,0.380952,0.304762,0.314286,0.380952,0.304762,2,2,6.666667e-02
105,0.311321,0.377358,0.311321,0.311321,0.377358,0.311321,2,2,6.603774e-02
106,0.308411,0.373832,0.317757,0.308411,0.373832,0.317757,2,2,6.542056e-02
107,0.305556,0.370370,0.324074,0.305556,0.370370,0.324074,2,2,6.481481e-02
108,0.302752,0.366972,0.330275,0.302752,0.366972,0.330275,2,2,6.422018e-02
109,0.300000,0.363636,0.336364,0.300000,0.363636,0.336364,2,2,6.363636e-02
110,0.297297,0.360360,0.342342,0.297297,0.360360,0.342342,2,2,6.306306e-02
111,0.294643,0.357143,0.348214,0.294643,0.357143,0.348214,2,2,6.250000e-02
112,0.292035,0.353982,0.353982,0.292035,0.353982,0.353982,2,2,6.194690e-02
113,0.289474,0.350877,0.359649,0.289474,0.350877,0.359649,2,2,6.140351e-02
114,0.286957,0.347826,0.365217,0.286957,0.347826,0.365217,2,2,6.086957e-02
115,0.284483,0.344828,0.370690,0.284483,0.344828,0.370690,2,2,6.034483e-02
116,0.282051,0.341880,0.376068,0.282051,0.341880,0.376068,2,2,5.982906e-02
117,0.279661,0.338983,0.381356,0.279661,0.338983,0.381356,2,2,5.932203e-02
118,0.277311,0.336134,0.386555,0.277311,0.336134,0.386555,2,2,5.882353e-02
119,0.275000,0.333333,0.391667,0.275000,0.333333,0.391667,2,2,5.833333e-02
120,0.280992,0.330579,0.388430,0.280992,0.330579,0.388430,0,0,5.785124e-02
121,0.286885,0.327869,0.385246,0.286885,0.327869,0.385246,0,0,5.737705e-02
122,0.292683,0.325203,0.382114,0.292683,0.325203,0.382114,0,0,5.691057e-02
123,0.298387,0.322581,0.379032,0.298387,0.322581,0.379032,0,0,5.645161e-02
124,0.304000,0.320000,0.376000,0.304000,0.320000,0.376000,0,0,5.600000e-02
125,0.309524,0.317460,0.373016,0.309524,0.317460,0.373016,0,0,5.555556e-02
126,0.314961,0.314961,0.370079,0.314961,0.314961,0.370079,0,0,5.511811e-02
127,0.320312,0.312500,0.367188,0.320312,0.312500,0.367188,0,0,5.468750e-02
128,0.325581,0.310078,0.364341,0.325581,0.310078,0.364341,0,0,5.426357e-02
129,0.330769,0.307692,0.361538,0.330769,0.307692,0.361538,0,0,5.384615e-02
130,0.335878,0.305344,0.358779,0.335878,0.305344,0.358779,0,0,5.343511e-02
131,0.340909,0.303030,0.356061,0.340909,0.303030,0.356061,0,0,5.303030e-02
132,0.345865,0.300752,0.353383,0.345865,0.300752,0.353383,0,0,5.263158e-02
133,0.350746,0.298507,0.350746,0.350746,0.298507,0.350746,0,0,5.223881e-02
134,0.355556,0.296296,0.348148,0.355556,0.296296,0.348148,0,0,5.185185e-02
135,0.360294,0.294118,0.345588,0.360294,0.294118,0.345588,0,0,5.147059e-02
136,0.364964,0.291971,0.343066,0.364964,0.291971,0.343066,0,0,5.109489e-02
137,0.369565,0.289855,0.340580,0.369565,0.289855,0.340580,0,0,5.072464e-02
138,0.374101,0.287770,0.338129,0.374101,0.287770,0.338129,0,0,5.035971e-02
139,0.378571,0.285714,0.335714,0.378571,0.285714,0.335714,0,0,5.000000e-02
140,0.382979,0.283688,0.333333,0.382979,0.283688,0.333333,0,0,4.964539e-02
141,0.380282,0.288732,0.330986,0.380282,0.288732,0.330986,1,1,4.929577e-02
142,0.377622,0.293706,0.328671,0.377622,0.293706,0.328671,1,1,4.895105e-02
143,0.375000,0.298611,0.326389,0.375000,0.298611,0.326389,1,1,4.861111e-02
144,0.372414,0.303448,0.324138,0.372414,0.303448,0.324138,1,1,4.827586e-02
145,0.369863,0.308219,0.321918,0.369863,0.308219,0.321918,1,1,4.794521e-02
146,0.367347,0.312925,0.319728,0.367347,0.312925,0.319728,1,1,4.761905e-02
147,0.364865,0.317568,0.317568,0.364865,0.317568,0.317568,1,1,4.729730e-02
148,0.362416,0.322148,0.315436,0.362416,0.322148,0.315436,1,1,4.697987e-02
149,0.360000,0.326667,0.313333,0.360000,0.326667,0.313333,1,1,4.666667e-02
150,0.357616,0.331126,0.311258,0.357616,0.331126,0.311258,1,1,4.635762e-02
151,0.355263,0.335526,0.309211,0.355263,0.335526,0.309211,1,1,4.605263e-02
152,0.352941,0.339869,0.307190,0.352941,0.339869,0.307190,1,1,4.575163e-02
153,0.350649,0.344156,0.305195,0.350649,0.344156,0.305195,1,1,4.545455e-02
154,0.348387,0.348387,0.303226,0.348387,0.348387,0.303226,1,1,4.516129e-02
155,0.346154,0.352564,0.301282,0.346154,0.352564,0.301282,1,1,4.487179e-02
156,0.343949,0.356688,0.299363,0.343949,0.356688,0.299363,1,1,4.458599e-02
157,0.341772,0.360759,0.297468,0.341772,0.360759,0.297468,1,1,4.430380e-02
158,0.339623,0.364780,0.295597,0.339623,0.364780,0.295597,1,1,4.402516e-02
159,0.337500,0.368750,0.293750,0.337500,0.368750,0.293750,1,1,4.375000e-02
160,0.335404,0.372671,0.291925,0.335404,0.372671,0.291925,1,1,4.347826e-02
161,0.333333,0.376543,0.290123,0.333333,0.376543,0.290123,1,1,4.320988e-02
162,0.331288,0.374233,0.294479,0.331288,0.374233,0.294479,2,2,4.294479e-02
163,0.329268,0.371951,0.298780,0.329268,0.371951,0.298780,2,2,4.268293e-02
164,0.327273,0.369697,0.303030,0.327273,0.369697,0.303030,2,2,4.242424e-02
165,0.325301,0.367470,0.307229,0.325301,0.367470,0.307229,2,2,4.216867e-02
166,0.323353,0.365269,0.311377,0.323353,0.365269,0.311377,2,2,4.191617e-02
167,0.321429,0.363095,0.315476,0.321429,0.363095,0.315476,2,2,4.166667e-02
168,0.319527,0.360947,0.319527,0.319527,0.360947,0.319527,2,2,4.142012e-02
169,0.317647,0.358824,0.323529,0.317647,0.358824,0.323529,2,2,4.117647e-02
170,0.315789,0.356725,0.327485,0.315789,0.356725,0.327485,2,2,4.093567e-02
171,0.313953,0.354651,0.331395,0.313953,0.354651,0.331395,2,2,4.069767e-02
172,0.312139,0.352601,0.335260,0.312139,0.352601,0.335260,2,2,4.046243e-02
173,0.310345,0.350575,0.339080,0.310345,0.350575,0.339080,2,2,4.022989e-02
174,0.308571,0.348571,0.342857,0.308571,0.348571,0.342857,2,2,4.000000e-02
175,0.306818,0.346591,0.346591,0.306818,0.346591,0.346591,2,2,3.977273e-02
176,0.305085,0.344633,0.350282,0.305085,0.344633,0.350282,2,2,3.954802e-02
177,0.303371,0.342697,0.353933,0.303371,0.342697,0.353933,2,2,3.932584e-02
178,0.301676,0.340782,0.357542,0.301676,0.340782,0.357542,2,2,3.910615e-02
179,0.300000,0.338889,0.361111,0.300000,0.338889,0.361111,2,2,3.888889e-02
180,0.298343,0.337017,0.364641,0.298343,0.337017,0.364641,2,2,3.867403e-02
181,0.296703,0.335165,0.368132,0.296703,0.335165,0.368132,2,2,3.846154e-02
182,0.295082,0.333333,0.371585,0.295082,0.333333,0.371585,2,2,3.825137e-02
183,0.298913,0.331522,0.369565,0.298913,0.331522,0.369565,0,0,3.804348e-02
184,0.302703,0.329730,0.367568,0.302703,0.329730,0.367568,0,0,3.783784e-02
185,0.306452,0.327957,0.365591,0.306452,0.327957,0.365591,0,0,3.763441e-02
186,0.310160,0.326203,0.363636,0.310160,0.326203,0.363636,0,0,3.743316e-02
187,0.313830,0.324468,0.361702,0.313830,0.324468,0.361702,0,0,3.723404e-02
188,0.317460,0.322751,0.359788,0.317460,0.322751,0.359788,0,0,3.703704e-02
189,0.321053,0.321053,0.357895,0.321053,0.321053,0.357895,0,0,3.684211e-02
190,0.324607,0.319372,0.356021,0.324607,0.319372,0.356021,0,0,3.664921e-02
191,0.328125,0.317708,0.354167,0.328125,0.317708,0.354167,0,0,3.645833e-02
192,0.331606,0.316062,0.352332,0.331606,0.316062,0.352332,0,0,3.626943e-02
193,0.335052,0.314433,0.350515,0.335052,0.314433,0.350515,0,0,3.608247e-02
194,0.338462,0.312821,0.348718,0.338462,0.312821,0.348718,0,0,3.589744e-02
195,0.341837,0.311224,0.346939,0.341837,0.311224,0.346939,0,0,3.571429e-02
196,0.345178,0.309645,0.345178,0.345178,0.309645,0.345178,0,0,3.553299e-02
197,0.348485,0.308081,0.343434,0.348485,0.308081,0.343434,0,0,3.535354e-02
198,0.351759,0.306533,0.341709,0.351759,0.306533,0.341709,0,0,3.517588e-02
199,0.355000,0.305000,0.340000,0.355000,0.305000,0.340000,0,0,3.500000e-02
200,0.358209,0.303483,0.338308,0.358209,0.303483,0.338308,0,0,3.482587e-02
201,0.361386,0.301980,0.336634,0.361386,0.301980,0.336634,0,0,3.465347e-02
202,0.364532,0.300493,0.334975,0.364532,0.300493,0.334975,0,0,3.448276e-02
203,0.367647,0.299020,0.333333,0.367647,0.299020,0.333333,0,0,3.431373e-02
204,0.365854,0.302439,0.331707,0.365854,0.302439,0.331707,1,1,3.414634e-02
205,0.364078,0.305825,0.330097,0.364078,0.305825,0.330097,1,1,3.398058e-02
206,0.362319,0.309179,0.328502,0.362319,0.309179,0.328502,1,1,3.381643e-02
207,0.360577,0.312500,0.326923,0.360577,0.312500,0.326923,1,1,3.365385e-02
208,0.358852,0.315789,0.325359,0.358852,0.315789,0.325359,1,1,3.349282e-02
209,0.357143,0.319048,0.323810,0.357143,0.319048,0.323810,1,1,3.333333e-02
210,0.355450,0.322275,0.322275,0.355450,0.322275,0.322275,1,1,3.317536e-02
211,0.353774,0.325472,0.320755,0.353774,0.325472,0.320755,1,1,3.301887e-02
212,0.352113,0.328638,0.319249,0.352113,0.328638,0.319249,1,1,3.286385e-02
213,0.350467,0.331776,0.317757,0.350467,0.331776,0.317757,1,1,3.271028e-02
