iteration,p0_a1,p0_a2,p0_a3,p1_a1,p1_a2,p1_a3,br_p0,br_p1,full_exploitability
1451,0.514109,0.250516,0.235375,0.348245,0.492774,0.158981,1,1,0.145922
1452,0.513755,0.251032,0.235213,0.348006,0.493122,0.158872,1,1,0.145924
1453,0.513402,0.251546,0.235052,0.347766,0.493471,0.158763,1,1,0.145926
1454,0.513049,0.252060,0.234890,0.347527,0.493819,0.158654,1,1,0.145928
1455,0.512697,0.252574,0.234729,0.347289,0.494166,0.158545,1,1,0.145930
1456,0.512346,0.253086,0.234568,0.347051,0.494513,0.158436,1,1,0.145932
1457,0.511995,0.253598,0.234407,0.346813,0.494859,0.158328,1,1,0.145933
1458,0.511644,0.254110,0.234247,0.346575,0.495205,0.158219,1,1,0.145935
1459,0.511294,0.254620,0.234086,0.346338,0.495551,0.158111,1,1,0.145936
1460,0.510944,0.255130,0.233926,0.346101,0.495896,0.158003,1,1,0.145937
1461,0.510595,0.255639,0.233766,0.345865,0.496241,0.157895,1,1,0.145938
1462,0.510246,0.256148,0.233607,0.345628,0.496585,0.157787,1,1,0.145939
1463,0.509898,0.256655,0.233447,0.345392,0.496928,0.157679,1,1,0.145940
1464,0.509550,0.257162,0.233288,0.345157,0.497271,0.157572,1,1,0.145940
1465,0.509202,0.257669,0.233129,0.344922,0.497614,0.157464,1,1,0.145941
1466,0.508856,0.258174,0.232970,0.344687,0.497956,0.157357,1,1,0.145941
1467,0.508509,0.258679,0.232811,0.344452,0.498298,0.157250,1,1,0.145941
1468,0.508163,0.259184,0.232653,0.344218,0.498639,0.157143,1,1,0.145941
1469,0.507818,0.259687,0.232495,0.343984,0.498980,0.157036,1,1,0.145941
1470,0.507473,0.260190,0.232337,0.343750,0.499321,0.156929,1,1,0.145941
1471,0.507128,0.260692,0.232179,0.343517,0.499661,0.156823,1,1,0.145941
1472,0.506784,0.261194,0.232022,0.343284,0.500000,0.156716,1,1,0.145940
1473,0.506441,0.261695,0.231864,0.343051,0.500339,0.156610,1,1,0.145939
1474,0.506098,0.262195,0.231707,0.342818,0.500678,0.156504,1,1,0.145939
1475,0.505755,0.262695,0.231550,0.342586,0.501016,0.156398,1,1,0.145938
1476,0.505413,0.263194,0.231394,0.342355,0.501353,0.156292,1,1,0.145937
1477,0.505071,0.263692,0.231237,0.342123,0.501690,0.156187,1,1,0.145936
1478,0.504730,0.264189,0.231081,0.341892,0.502027,0.156081,1,1,0.145934
1479,0.504389,0.264686,0.230925,0.341661,0.502363,0.155976,1,1,0.145933
1480,0.504049,0.265182,0.230769,0.341430,0.502699,0.155870,1,1,0.145931
1481,0.503709,0.265678,0.230614,0.341200,0.503034,0.155765,1,1,0.145930
1482,0.503369,0.266173,0.230458,0.340970,0.503369,0.155660,1,1,0.145928
1483,0.503030,0.266667,0.230303,0.340741,0.503704,0.155556,1,1,0.145926
1484,0.502692,0.267160,0.230148,0.340511,0.504038,0.155451,1,1,0.145924
1485,0.502354,0.267653,0.229993,0.340282,0.504371,0.155346,1,1,0.145922
1486,0.502016,0.268145,0.229839,0.340054,0.504704,0.155242,1,1,0.145919
1487,0.501679,0.268637,0.229684,0.339825,0.505037,0.155138,1,1,0.145917
1488,0.501342,0.269128,0.229530,0.339597,0.505369,0.155034,1,1,0.145914
1489,0.501006,0.269618,0.229376,0.339370,0.505701,0.154930,1,1,0.145912
1490,0.500670,0.270107,0.229223,0.339142,0.506032,0.154826,1,1,0.145909
1491,0.500335,0.270596,0.229069,0.338915,0.506363,0.154722,1,1,0.145906
1492,0.500000,0.271084,0.228916,0.338688,0.506693,0.154618,1,1,0.145903
1493,0.499666,0.271572,0.228763,0.338462,0.507023,0.154515,1,1,0.145900
1494,0.499332,0.272059,0.228610,0.338235,0.507353,0.154412,1,1,0.145896
1495,0.498998,0.272545,0.228457,0.338009,0.507682,0.154309,1,1,0.145893
1496,0.498665,0.273031,0.228304,0.337784,0.508011,0.154206,1,1,0.145889
1497,0.498332,0.273516,0.228152,0.337558,0.508339,0.154103,1,1,0.145886
1498,0.498000,0.274000,0.228000,0.337333,0.508667,0.154000,1,1,0.145882
1499,0.497668,0.274484,0.227848,0.337109,0.508994,0.153897,1,1,0.145878
1500,0.497337,0.274967,0.227696,0.336884,0.509321,0.153795,1,1,0.145874
1501,0.497006,0.275449,0.227545,0.336660,0.509647,0.153693,1,1,0.145870
1502,0.496676,0.275931,0.227394,0.336436,0.509973,0.153590,1,1,0.145866
1503,0.496346,0.276412,0.227243,0.336213,0.510299,0.153488,1,1,0.145861
1504,0.496016,0.276892,0.227092,0.335989,0.510624,0.153386,1,1,0.145857
1505,0.495687,0.277372,0.226941,0.335766,0.510949,0.153285,1,1,0.145852
1506,0.495358,0.277851,0.226790,0.335544,0.511273,0.153183,1,1,0.145847
1507,0.495030,0.278330,0.226640,0.335321,0.511597,0.153082,1,1,0.145843
1508,0.494702,0.278808,0.226490,0.335099,0.511921,0.152980,1,1,0.145838
1509,0.494375,0.279285,0.226340,0.334878,0.512244,0.152879,1,1,0.145833
1510,0.494048,0.279762,0.226190,0.334656,0.512566,0.152778,1,1,0.145827
1511,0.493721,0.280238,0.226041,0.334435,0.512888,0.152677,1,1,0.145822
1512,0.493395,0.280713,0.225892,0.334214,0.513210,0.152576,1,1,0.145817
1513,0.493069,0.281188,0.225743,0.333993,0.513531,0.152475,1,1,0.145811
1514,0.492744,0.281662,0.225594,0.333773,0.513852,0.152375,1,1,0.145806
1515,0.492419,0.282136,0.225445,0.333553,0.514173,0.152274,1,1,0.145800
1516,0.492095,0.282609,0.225296,0.333333,0.514493,0.152174,1,1,0.145794
1517,0.491771,0.283081,0.225148,0.333114,0.514812,0.152074,1,1,0.145788
1518,0.491447,0.283553,0.225000,0.332895,0.515132,0.151974,1,1,0.145782
1519,0.491124,0.284024,0.224852,0.332676,0.515450,0.151874,1,1,0.145776
1520,0.490802,0.284494,0.224704,0.332457,0.515769,0.151774,1,1,0.145769
1521,0.490479,0.284964,0.224557,0.332239,0.516087,0.151674,1,1,0.145763
1522,0.490157,0.285433,0.224409,0.332021,0.516404,0.151575,1,1,0.145756
1523,0.489836,0.285902,0.224262,0.331803,0.516721,0.151475,1,1,0.145750
1524,0.489515,0.286370,0.224115,0.331586,0.517038,0.151376,1,1,0.145743
1525,0.489194,0.286837,0.223969,0.331369,0.517354,0.151277,1,1,0.145736
1526,0.488874,0.287304,0.223822,0.331152,0.517670,0.151178,1,1,0.145729
1527,0.488555,0.287770,0.223676,0.330935,0.517986,0.151079,1,1,0.145722
1528,0.488235,0.288235,0.223529,0.330719,0.518301,0.150980,1,1,0.145715
1529,0.487916,0.288700,0.223383,0.330503,0.518615,0.150882,1,1,0.145708
1530,0.487598,0.289164,0.223238,0.330287,0.518930,0.150783,1,1,0.145700
1531,0.487280,0.289628,0.223092,0.330072,0.519243,0.150685,1,1,0.145693
1532,0.486962,0.290091,0.222947,0.329857,0.519557,0.150587,1,1,0.145685
1533,0.486645,0.290554,0.222801,0.329642,0.519870,0.150489,1,1,0.145678
1534,0.486328,0.291016,0.222656,0.329427,0.520182,0.150391,1,1,0.145670
1535,0.486012,0.291477,0.222511,0.329213,0.520494,0.150293,1,1,0.145662
1536,0.485696,0.291938,0.222367,0.328999,0.520806,0.150195,1,1,0.145654
1537,0.485380,0.292398,0.222222,0.328785,0.521118,0.150097,1,1,0.145646
1538,0.485065,0.292857,0.222078,0.328571,0.521429,0.150000,1,1,0.145638
1539,0.484750,0.293316,0.221934,0.328358,0.521739,0.149903,1,1,0.145629
1540,0.484436,0.293774,0.221790,0.328145,0.522049,0.149805,1,1,0.145621
1541,0.484122,0.294232,0.221646,0.327933,0.522359,0.149708,1,1,0.145613
1542,0.483808,0.294689,0.221503,0.327720,0.522668,0.149611,1,1,0.145604
1543,0.483495,0.295146,0.221359,0.327508,0.522977,0.149515,1,1,0.145595
1544,0.483182,0.295602,0.221216,0.327296,0.523286,0.149418,1,1,0.145586
1545,0.482870,0.296057,0.221073,0.327085,0.523594,0.149321,1,1,0.145578
1546,0.482558,0.296512,0.220930,0.326873,0.523902,0.149225,1,1,0.145569
1547,0.482247,0.296966,0.220788,0.326662,0.524209,0.149128,1,1,0.145559
1548,0.481935,0.297419,0.220645,0.326452,0.524516,0.149032,1,1,0.145550
1549,0.481625,0.297872,0.220503,0.326241,0.524823,0.148936,1,1,0.145541
1550,0.481314,0.298325,0.220361,0.326031,0.525129,0.148840,1,1,0.145532
1551,0.481005,0.298777,0.220219,0.325821,0.525435,0.148744,1,1,0.145522
1552,0.480695,0.299228,0.220077,0.325611,0.525740,0.148649,1,1,0.145513
1553,0.480386,0.299678,0.219936,0.325402,0.526045,0.148553,1,1,0.145503
1554,0.480077,0.300129,0.219794,0.325193,0.526350,0.148458,1,1,0.145493
1555,0.479769,0.300578,0.219653,0.324984,0.526654,0.148362,1,1,0.145483
1556,0.479461,0.301027,0.219512,0.324775,0.526958,0.148267,1,1,0.145473
1557,0.479153,0.301475,0.219371,0.324567,0.527261,0.148172,1,1,0.145463
1558,0.478846,0.301923,0.219231,0.324359,0.527564,0.148077,1,1,0.145453
1559,0.478539,0.302370,0.219090,0.324151,0.527867,0.147982,1,1,0.145443
1560,0.478233,0.302817,0.218950,0.323944,0.528169,0.147887,1,1,0.145432
1561,0.477927,0.303263,0.218810,0.323736,0.528471,0.147793,1,1,0.145422
1562,0.477621,0.303708,0.218670,0.323529,0.528772,0.147698,1,1,0.145412
1563,0.477316,0.304153,0.218530,0.323323,0.529073,0.147604,1,1,0.145401
1564,0.477011,0.304598,0.218391,0.323116,0.529374,0.147510,1,1,0.145390
1565,0.476707,0.305041,0.218251,0.322910,0.529675,0.147415,1,1,0.145379
1566,0.476403,0.305485,0.218112,0.322704,0.529974,0.147321,1,1,0.145369
1567,0.476099,0.305927,0.217973,0.322498,0.530274,0.147228,1,1,0.145358
1568,0.475796,0.306369,0.217834,0.322293,0.530573,0.147134,1,1,0.145346
1569,0.475493,0.306811,0.217696,0.322088,0.530872,0.147040,1,1,0.145335
1570,0.475191,0.307252,0.217557,0.321883,0.531170,0.146947,1,1,0.145324
1571,0.474889,0.307692,0.217419,0.321678,0.531469,0.146853,1,1,0.145313
1572,0.474587,0.308132,0.217281,0.321474,0.531766,0.146760,1,1,0.145301
1573,0.474286,0.308571,0.217143,0.321270,0.532063,0.146667,1,1,0.145290
1574,0.473985,0.309010,0.217005,0.321066,0.532360,0.146574,1,1,0.145278
1575,0.473684,0.309448,0.216867,0.320862,0.532657,0.146481,1,1,0.145267
1576,0.473384,0.309886,0.216730,0.320659,0.532953,0.146388,1,1,0.145255
1577,0.473084,0.310323,0.216593,0.320456,0.533249,0.146295,1,1,0.145243
1578,0.472785,0.310759,0.216456,0.320253,0.533544,0.146203,1,1,0.145231
1579,0.472486,0.311195,0.216319,0.320051,0.533839,0.146110,1,1,0.145219
1580,0.472187,0.311631,0.216182,0.319848,0.534134,0.146018,1,1,0.145207
1581,0.471889,0.312066,0.216045,0.319646,0.534428,0.145925,1,1,0.145195
1582,0.471591,0.312500,0.215909,0.319444,0.534722,0.145833,1,1,0.145182
1583,0.471293,0.312934,0.215773,0.319243,0.535016,0.145741,1,1,0.145170
1584,0.470996,0.313367,0.215637,0.319042,0.535309,0.145649,1,1,0.145157
1585,0.470699,0.313800,0.215501,0.318841,0.535602,0.145558,1,1,0.145145
1586,0.470403,0.314232,0.215365,0.318640,0.535894,0.145466,1,1,0.145132
1587,0.470107,0.314663,0.215230,0.318439,0.536186,0.145374,1,1,0.145120
1588,0.469811,0.315094,0.215094,0.318239,0.536478,0.145283,1,1,0.145107
1589,0.469516,0.315525,0.214959,0.318039,0.536769,0.145192,1,1,0.145094
1590,0.469221,0.315955,0.214824,0.317839,0.537060,0.145101,1,1,0.145081
1591,0.468927,0.316384,0.214689,0.317640,0.537351,0.145009,1,1,0.145068
1592,0.468632,0.316813,0.214555,0.317440,0.537641,0.144918,1,1,0.145055
1593,0.468339,0.317241,0.214420,0.317241,0.537931,0.144828,1,1,0.145042
1594,0.468045,0.317669,0.214286,0.317043,0.538221,0.144737,1,1,0.145028
1595,0.467752,0.318096,0.214152,0.316844,0.538510,0.144646,1,1,0.145015
1596,0.467459,0.318523,0.214018,0.316646,0.538798,0.144556,1,1,0.145002
1597,0.467167,0.318949,0.213884,0.316448,0.539087,0.144465,1,1,0.144988
1598,0.466875,0.319375,0.213750,0.316250,0.539375,0.144375,1,1,0.144974
1599,0.466583,0.319800,0.213616,0.316052,0.539663,0.144285,1,1,0.144961
1600,0.466292,0.320225,0.213483,0.315855,0.539950,0.144195,1,1,0.144947
1601,0.466001,0.320649,0.213350,0.315658,0.540237,0.144105,1,1,0.144933
1602,0.465711,0.321072,0.213217,0.315461,0.540524,0.144015,1,1,0.144919
1603,0.465421,0.321495,0.213084,0.315265,0.540810,0.143925,1,1,0.144905
1604,0.465131,0.321918,0.212951,0.315068,0.541096,0.143836,1,1,0.144891
1605,0.464841,0.322340,0.212819,0.314872,0.541381,0.143746,1,1,0.144877
1606,0.464552,0.322761,0.212687,0.314677,0.541667,0.143657,1,1,0.144863
1607,0.464264,0.323182,0.212554,0.314481,0.541952,0.143567,1,1,0.144848
1608,0.463975,0.323602,0.212422,0.314286,0.542236,0.143478,1,1,0.144834
1609,0.463687,0.324022,0.212291,0.314091,0.542520,0.143389,1,1,0.144820
1610,0.463400,0.324442,0.212159,0.313896,0.542804,0.143300,1,1,0.144805
1611,0.463112,0.324861,0.212027,0.313701,0.543087,0.143211,1,1,0.144791
1612,0.462825,0.325279,0.211896,0.313507,0.543371,0.143123,1,1,0.144776
1613,0.462539,0.325697,0.211765,0.313313,0.543653,0.143034,1,1,0.144761
1614,0.462252,0.326114,0.211634,0.313119,0.543936,0.142946,1,1,0.144746
1615,0.461967,0.326531,0.211503,0.312925,0.544218,0.142857,1,1,0.144731
1616,0.461681,0.326947,0.211372,0.312732,0.544499,0.142769,1,1,0.144716
1617,0.461396,0.327363,0.211242,0.312539,0.544781,0.142681,1,1,0.144701
1618,0.461111,0.327778,0.211111,0.312346,0.545062,0.142593,1,1,0.144686
1619,0.460827,0.328192,0.210981,0.312153,0.545342,0.142505,1,1,0.144671
1620,0.460543,0.328607,0.210851,0.311961,0.545623,0.142417,1,1,0.144656
1621,0.460259,0.329020,0.210721,0.311768,0.545903,0.142329,1,1,0.144640
1622,0.459975,0.329433,0.210591,0.311576,0.546182,0.142241,1,1,0.144625
1623,0.459692,0.329846,0.210462,0.311385,0.546462,0.142154,1,1,0.144610
1624,0.459410,0.330258,0.210332,0.311193,0.546740,0.142066,1,1,0.144594
1625,0.459127,0.330670,0.210203,0.311002,0.547019,0.141979,1,1,0.144578
1626,0.458845,0.331081,0.210074,0.310811,0.547297,0.141892,1,1,0.144563
1627,0.458564,0.331492,0.209945,0.310620,0.547575,0.141805,1,1,0.144547
1628,0.458282,0.331902,0.209816,0.310429,0.547853,0.141718,1,1,0.144531
1629,0.458001,0.332311,0.209687,0.310239,0.548130,0.141631,1,1,0.144515
1630,0.457721,0.332721,0.209559,0.310049,0.548407,0.141544,1,1,0.144499
1631,0.457440,0.333129,0.209430,0.309859,0.548683,0.141457,1,1,0.144483
1632,0.457160,0.333537,0.209302,0.309670,0.548960,0.141371,1,1,0.144467
1633,0.456881,0.333945,0.209174,0.309480,0.549235,0.141284,1,1,0.144451
1634,0.456601,0.334352,0.209046,0.309291,0.549511,0.141198,1,1,0.144435
1635,0.456323,0.334759,0.208919,0.309102,0.549786,0.141112,1,1,0.144418
1636,0.456044,0.335165,0.208791,0.308913,0.550061,0.141026,1,1,0.144402
1637,0.455766,0.335570,0.208664,0.308725,0.550336,0.140940,1,1,0.144385
1638,0.455488,0.335976,0.208537,0.308537,0.550610,0.140854,1,1,0.144369
1639,0.455210,0.336380,0.208410,0.308349,0.550884,0.140768,1,1,0.144352
1640,0.454933,0.336784,0.208283,0.308161,0.551157,0.140682,1,1,0.144336
1641,0.454656,0.337188,0.208156,0.307973,0.551430,0.140596,1,1,0.144319
1642,0.454380,0.337591,0.208029,0.307786,0.551703,0.140511,1,1,0.144302
1643,0.454103,0.337994,0.207903,0.307599,0.551976,0.140426,1,1,0.144285
1644,0.453827,0.338396,0.207776,0.307412,0.552248,0.140340,1,1,0.144268
1645,0.453552,0.338798,0.207650,0.307225,0.552520,0.140255,1,1,0.144251
1646,0.453277,0.339199,0.207524,0.307039,0.552791,0.140170,1,1,0.144234
1647,0.453002,0.339600,0.207398,0.306853,0.553062,0.140085,1,1,0.144217
1648,0.452727,0.340000,0.207273,0.306667,0.553333,0.140000,1,1,0.144200
1649,0.452453,0.340400,0.207147,0.306481,0.553604,0.139915,1,1,0.144183
1650,0.452179,0.340799,0.207022,0.306295,0.553874,0.139831,1,1,0.144165
1651,0.451906,0.341198,0.206897,0.306110,0.554144,0.139746,1,1,0.144148
1652,0.451632,0.341596,0.206771,0.305925,0.554414,0.139661,1,1,0.144131
1653,0.451360,0.341994,0.206647,0.305740,0.554683,0.139577,1,1,0.144113
1654,0.451087,0.342391,0.206522,0.305556,0.554952,0.139493,1,1,0.144096
1655,0.450815,0.342788,0.206397,0.305371,0.555220,0.139409,1,1,0.144078
1656,0.450543,0.343185,0.206273,0.305187,0.555489,0.139324,1,1,0.144060
1657,0.450271,0.343580,0.206148,0.305003,0.555756,0.139241,1,1,0.144043
1658,0.450000,0.343976,0.206024,0.304819,0.556024,0.139157,1,1,0.144025
1659,0.449729,0.344371,0.205900,0.304636,0.556291,0.139073,1,1,0.144007
1660,0.449458,0.344765,0.205776,0.304452,0.556558,0.138989,1,1,0.143989
1661,0.449188,0.345159,0.205652,0.304269,0.556825,0.138906,1,1,0.143971
1662,0.448918,0.345553,0.205529,0.304087,0.557091,0.138822,1,1,0.143953
1663,0.448649,0.345946,0.205405,0.303904,0.557357,0.138739,1,1,0.143935
1664,0.448379,0.346339,0.205282,0.303721,0.557623,0.138655,1,1,0.143917
1665,0.448110,0.346731,0.205159,0.303539,0.557888,0.138572,1,1,0.143898
1666,0.447842,0.347122,0.205036,0.303357,0.558153,0.138489,1,1,0.143880
1667,0.447573,0.347513,0.204913,0.303176,0.558418,0.138406,1,1,0.143862
1668,0.447305,0.347904,0.204790,0.302994,0.558683,0.138323,1,1,0.143843
1669,0.447038,0.348294,0.204668,0.302813,0.558947,0.138241,1,1,0.143825
1670,0.446770,0.348684,0.204545,0.302632,0.559211,0.138158,1,1,0.143806
1671,0.446503,0.349074,0.204423,0.302451,0.559474,0.138075,1,1,0.143788
1672,0.446237,0.349462,0.204301,0.302270,0.559737,0.137993,1,1,0.143769
1673,0.445970,0.349851,0.204179,0.302090,0.560000,0.137910,1,1,0.143750
1674,0.445704,0.350239,0.204057,0.301909,0.560263,0.137828,1,1,0.143732
1675,0.445438,0.350626,0.203936,0.301729,0.560525,0.137746,1,1,0.143713
1676,0.445173,0.351013,0.203814,0.301549,0.560787,0.137664,1,1,0.143694
1677,0.444908,0.351400,0.203693,0.301370,0.561048,0.137582,1,1,0.143675
1678,0.444643,0.351786,0.203571,0.301190,0.561310,0.137500,1,1,0.143656
1679,0.444378,0.352171,0.203450,0.301011,0.561570,0.137418,1,1,0.143637
1680,0.444114,0.352556,0.203329,0.300832,0.561831,0.137337,1,1,0.143618
1681,0.443850,0.352941,0.203209,0.300654,0.562092,0.137255,1,1,0.143599
1682,0.443587,0.353325,0.203088,0.300475,0.562352,0.137173,1,1,0.143579
1683,0.443323,0.353709,0.202967,0.300297,0.562611,0.137092,1,1,0.143560
1684,0.443060,0.354093,0.202847,0.300119,0.562871,0.137011,1,1,0.143541
1685,0.442798,0.354475,0.202727,0.299941,0.563130,0.136929,1,1,0.143521
1686,0.442536,0.354858,0.202607,0.299763,0.563389,0.136848,1,1,0.143502
1687,0.442274,0.355240,0.202487,0.299586,0.563647,0.136767,1,1,0.143482
1688,0.442012,0.355621,0.202367,0.299408,0.563905,0.136686,1,1,0.143463
1689,0.441750,0.356002,0.202247,0.299231,0.564163,0.136606,1,1,0.143443
1690,0.441489,0.356383,0.202128,0.299054,0.564421,0.136525,1,1,0.143424
1691,0.441229,0.356763,0.202008,0.298878,0.564678,0.136444,1,1,0.143404
1692,0.440968,0.357143,0.201889,0.298701,0.564935,0.136364,1,1,0.143384
1693,0.440708,0.357522,0.201770,0.298525,0.565192,0.136283,1,1,0.143364
1694,0.440448,0.357901,0.201651,0.298349,0.565448,0.136203,1,1,0.143345
1695,0.440189,0.358279,0.201532,0.298173,0.565704,0.136123,1,1,0.143325
1696,0.439929,0.358657,0.201413,0.297998,0.565960,0.136042,1,1,0.143305
1697,0.439670,0.359035,0.201295,0.297822,0.566215,0.135962,1,1,0.143285
1698,0.439412,0.359412,0.201176,0.297647,0.566471,0.135882,1,1,0.143265
1699,0.439153,0.359788,0.201058,0.297472,0.566725,0.135802,1,1,0.143244
1700,0.438895,0.360165,0.200940,0.297297,0.566980,0.135723,1,1,0.143224
1701,0.438638,0.360540,0.200822,0.297123,0.567234,0.135643,1,1,0.143204
1702,0.438380,0.360915,0.200704,0.296948,0.567488,0.135563,1,1,0.143184
1703,0.438123,0.361290,0.200587,0.296774,0.567742,0.135484,1,1,0.143163
1704,0.437866,0.361665,0.200469,0.296600,0.567995,0.135404,1,1,0.143143
1705,0.437610,0.362039,0.200351,0.296426,0.568248,0.135325,1,1,0.143123
1706,0.437354,0.362412,0.200234,0.296253,0.568501,0.135246,1,1,0.143102
1707,0.437098,0.362785,0.200117,0.296080,0.568754,0.135167,1,1,0.143082
1708,0.436842,0.363158,0.200000,0.295906,0.569006,0.135088,1,1,0.143061
1709,0.436587,0.363530,0.199883,0.295733,0.569258,0.135009,1,1,0.143040
1710,0.436332,0.363902,0.199766,0.295561,0.569509,0.134930,1,1,0.143020
1711,0.436077,0.364273,0.199650,0.295388,0.569761,0.134851,1,1,0.142999
1712,0.435823,0.364644,0.199533,0.295216,0.570012,0.134772,1,1,0.142978
1713,0.435569,0.365015,0.199417,0.295044,0.570262,0.134694,1,1,0.142957
1714,0.435315,0.365385,0.199301,0.294872,0.570513,0.134615,1,1,0.142936
1715,0.435061,0.365754,0.199185,0.294700,0.570763,0.134537,1,1,0.142915
1716,0.434808,0.366123,0.199069,0.294529,0.571013,0.134459,1,1,0.142894
1717,0.434555,0.366492,0.198953,0.294357,0.571262,0.134380,1,1,0.142873
1718,0.434302,0.366860,0.198837,0.294186,0.571512,0.134302,1,1,0.142852
1719,0.434050,0.367228,0.198722,0.294015,0.571761,0.134224,1,1,0.142831
1720,0.433798,0.367596,0.198606,0.293844,0.572009,0.134146,1,1,0.142810
1721,0.433546,0.367963,0.198491,0.293674,0.572258,0.134068,1,1,0.142789
1722,0.433295,0.368329,0.198376,0.293503,0.572506,0.133991,1,1,0.142768
1723,0.433043,0.368696,0.198261,0.293333,0.572754,0.133913,1,1,0.142746
1724,0.432793,0.369061,0.198146,0.293163,0.573001,0.133835,1,1,0.142725
1725,0.432542,0.369427,0.198031,0.292994,0.573248,0.133758,1,1,0.142704
1726,0.432292,0.369792,0.197917,0.292824,0.573495,0.133681,1,1,0.142682
1727,0.432042,0.370156,0.197802,0.292655,0.573742,0.133603,1,1,0.142661
1728,0.431792,0.370520,0.197688,0.292486,0.573988,0.133526,1,1,0.142639
1729,0.431542,0.370884,0.197574,0.292317,0.574235,0.133449,1,1,0.142617
1730,0.431293,0.371247,0.197460,0.292148,0.574480,0.133372,1,1,0.142596
1731,0.431044,0.371610,0.197346,0.291979,0.574726,0.133295,1,1,0.142574
1732,0.430796,0.371972,0.197232,0.291811,0.574971,0.133218,1,1,0.142552
1733,0.430548,0.372334,0.197118,0.291643,0.575216,0.133141,1,1,0.142531
1734,0.430300,0.372696,0.197005,0.291475,0.575461,0.133065,1,1,0.142509
1735,0.430052,0.373057,0.196891,0.291307,0.575705,0.132988,1,1,0.142487
1736,0.429804,0.373418,0.196778,0.291139,0.575949,0.132911,1,1,0.142465
1737,0.429557,0.373778,0.196665,0.290972,0.576193,0.132835,1,1,0.142443
1738,0.429310,0.374138,0.196552,0.290805,0.576437,0.132759,1,1,0.142421
1739,0.429064,0.374497,0.196439,0.290638,0.576680,0.132682,1,1,0.142399
1740,0.428817,0.374856,0.196326,0.290471,0.576923,0.132606,1,1,0.142377
1741,0.428571,0.375215,0.196213,0.290304,0.577166,0.132530,1,1,0.142355
1742,0.428326,0.375573,0.196101,0.290138,0.577408,0.132454,1,1,0.142333
1743,0.428080,0.375931,0.195989,0.289971,0.577650,0.132378,1,1,0.142311
1744,0.427835,0.376289,0.195876,0.289805,0.577892,0.132302,1,1,0.142288
1745,0.427590,0.376646,0.195764,0.289639,0.578134,0.132227,1,1,0.142266
1746,0.427346,0.377002,0.195652,0.289474,0.578375,0.132151,1,1,0.142244
1747,0.427101,0.377358,0.195540,0.289308,0.578616,0.132075,1,1,0.142221
1748,0.426857,0.377714,0.195429,0.289143,0.578857,0.132000,1,1,0.142199
1749,0.426613,0.378070,0.195317,0.288978,0.579098,0.131925,1,1,0.142177
1750,0.426370,0.378425,0.195205,0.288813,0.579338,0.131849,1,1,0.142154
1751,0.426127,0.378779,0.195094,0.288648,0.579578,0.131774,1,1,0.142132
1752,0.425884,0.379133,0.194983,0.288483,0.579818,0.131699,1,1,0.142109
1753,0.425641,0.379487,0.194872,0.288319,0.580057,0.131624,1,1,0.142086
1754,0.425399,0.379841,0.194761,0.288155,0.580296,0.131549,1,1,0.142064
1755,0.425157,0.380194,0.194650,0.287991,0.580535,0.131474,1,1,0.142041
1756,0.424915,0.380546,0.194539,0.287827,0.580774,0.131399,1,1,0.142018
1757,0.424673,0.380898,0.194429,0.287663,0.581012,0.131325,1,1,0.141995
1758,0.424432,0.381250,0.194318,0.287500,0.581250,0.131250,1,1,0.141973
1759,0.424191,0.381601,0.194208,0.287337,0.581488,0.131175,1,1,0.141950
1760,0.423950,0.381952,0.194098,0.287174,0.581725,0.131101,1,1,0.141927
1761,0.423710,0.382303,0.193988,0.287011,0.581963,0.131027,1,1,0.141904
1762,0.423469,0.382653,0.193878,0.286848,0.582200,0.130952,1,1,0.141881
1763,0.423229,0.383003,0.193768,0.286686,0.582436,0.130878,1,1,0.141858
1764,0.422990,0.383352,0.193658,0.286523,0.582673,0.130804,1,1,0.141835
1765,0.422750,0.383701,0.193548,0.286361,0.582909,0.130730,1,1,0.141812
1766,0.422511,0.384050,0.193439,0.286199,0.583145,0.130656,1,1,0.141789
1767,0.422272,0.384398,0.193330,0.286037,0.583380,0.130582,1,1,0.141766
1768,0.422034,0.384746,0.193220,0.285876,0.583616,0.130508,1,1,0.141742
1769,0.421796,0.385093,0.193111,0.285714,0.583851,0.130435,1,1,0.141719
1770,0.421558,0.385440,0.193002,0.285553,0.584086,0.130361,1,1,0.141696
1771,0.421320,0.385787,0.192893,0.285392,0.584320,0.130288,1,1,0.141672
1772,0.421082,0.386133,0.192785,0.285231,0.584555,0.130214,1,1,0.141649
1773,0.420845,0.386479,0.192676,0.285070,0.584789,0.130141,1,1,0.141626
1774,0.420608,0.386824,0.192568,0.284910,0.585023,0.130068,1,1,0.141602
1775,0.420371,0.387169,0.192459,0.284750,0.585256,0.129994,1,1,0.141579
1776,0.420135,0.387514,0.192351,0.284589,0.585489,0.129921,1,1,0.141555
1777,0.419899,0.387858,0.192243,0.284429,0.585722,0.129848,1,1,0.141532
1778,0.419663,0.388202,0.192135,0.284270,0.585955,0.129775,1,1,0.141508
1779,0.419427,0.388546,0.192027,0.284110,0.586188,0.129702,1,1,0.141485
1780,0.419192,0.388889,0.191919,0.283951,0.586420,0.129630,1,1,0.141461
1781,0.418957,0.389232,0.191812,0.283791,0.586652,0.129557,1,1,0.141437
