iteration,p0_a1,p0_a2,p0_a3,p1_a1,p1_a2,p1_a3,br_p0,br_p1,full_exploitability
76,0.500000,0.141026,0.358974,0.564103,0.205128,0.230769,0,1,0.166338
77,0.506329,0.139241,0.354430,0.556962,0.215190,0.227848,0,1,0.166239
78,0.512500,0.137500,0.350000,0.550000,0.225000,0.225000,0,1,0.166094
79,0.518519,0.135802,0.345679,0.543210,0.234568,0.222222,0,1,0.165905
80,0.524390,0.134146,0.341463,0.536585,0.243902,0.219512,0,1,0.165675
81,0.530120,0.132530,0.337349,0.530120,0.253012,0.216867,0,1,0.165409
82,0.535714,0.130952,0.333333,0.523810,0.261905,0.214286,0,1,0.165108
83,0.541176,0.129412,0.329412,0.517647,0.270588,0.211765,0,1,0.164775
84,0.546512,0.127907,0.325581,0.511628,0.279070,0.209302,0,1,0.164413
85,0.551724,0.126437,0.321839,0.505747,0.287356,0.206897,0,1,0.164024
86,0.556818,0.125000,0.318182,0.500000,0.295455,0.204545,0,1,0.163611
87,0.561798,0.123596,0.314607,0.494382,0.303371,0.202247,0,1,0.163174
88,0.566667,0.122222,0.311111,0.488889,0.311111,0.200000,0,1,0.162716
89,0.571429,0.120879,0.307692,0.483516,0.318681,0.197802,0,1,0.162239
90,0.576087,0.119565,0.304348,0.478261,0.326087,0.195652,0,1,0.161744
91,0.580645,0.118280,0.301075,0.473118,0.333333,0.193548,0,1,0.161233
92,0.585106,0.117021,0.297872,0.468085,0.340426,0.191489,0,1,0.160706
93,0.589474,0.115789,0.294737,0.463158,0.347368,0.189474,0,1,0.160166
94,0.593750,0.114583,0.291667,0.458333,0.354167,0.187500,0,1,0.159614
95,0.597938,0.113402,0.288660,0.453608,0.360825,0.185567,0,1,0.159050
96,0.602041,0.112245,0.285714,0.448980,0.367347,0.183673,0,1,0.158476
97,0.606061,0.111111,0.282828,0.444444,0.373737,0.181818,0,1,0.157892
98,0.610000,0.110000,0.280000,0.440000,0.380000,0.180000,0,1,0.157300
99,0.613861,0.108911,0.277228,0.435644,0.386139,0.178218,0,1,0.156700
100,0.617647,0.107843,0.274510,0.431373,0.392157,0.176471,0,1,0.156094
101,0.621359,0.106796,0.271845,0.427184,0.398058,0.174757,0,1,0.155481
102,0.625000,0.105769,0.269231,0.423077,0.403846,0.173077,0,1,0.154863
103,0.628571,0.104762,0.266667,0.419048,0.409524,0.171429,0,1,0.154240
104,0.632075,0.103774,0.264151,0.415094,0.415094,0.169811,0,1,0.153613
105,0.635514,0.102804,0.261682,0.411215,0.420561,0.168224,0,1,0.157656
106,0.629630,0.111111,0.259259,0.407407,0.425926,0.166667,1,1,0.158093
107,0.623853,0.119266,0.256881,0.403670,0.431193,0.165138,1,1,0.158488
108,0.618182,0.127273,0.254545,0.400000,0.436364,0.163636,1,1,0.158843
109,0.612613,0.135135,0.252252,0.396396,0.441441,0.162162,1,1,0.159159
110,0.607143,0.142857,0.250000,0.392857,0.446429,0.160714,1,1,0.159439
111,0.601770,0.150442,0.247788,0.389381,0.451327,0.159292,1,1,0.159684
112,0.596491,0.157895,0.245614,0.385965,0.456140,0.157895,1,1,0.159895
113,0.591304,0.165217,0.243478,0.382609,0.460870,0.156522,1,1,0.160076
114,0.586207,0.172414,0.241379,0.379310,0.465517,0.155172,1,1,0.160226
115,0.581197,0.179487,0.239316,0.376068,0.470085,0.153846,1,1,0.160348
116,0.576271,0.186441,0.237288,0.372881,0.474576,0.152542,1,1,0.160442
117,0.571429,0.193277,0.235294,0.369748,0.478992,0.151261,1,1,0.160511
118,0.566667,0.200000,0.233333,0.366667,0.483333,0.150000,1,1,0.160556
119,0.561983,0.206612,0.231405,0.363636,0.487603,0.148760,1,1,0.160576
120,0.557377,0.213115,0.229508,0.360656,0.491803,0.147541,1,1,0.160575
121,0.552846,0.219512,0.227642,0.357724,0.495935,0.146341,1,1,0.160553
122,0.548387,0.225806,0.225806,0.354839,0.500000,0.145161,1,1,0.160510
123,0.544000,0.232000,0.224000,0.352000,0.504000,0.144000,1,1,0.160448
124,0.539683,0.238095,0.222222,0.349206,0.507937,0.142857,1,1,0.160368
125,0.535433,0.244094,0.220472,0.346457,0.511811,0.141732,1,1,0.160270
126,0.531250,0.250000,0.218750,0.343750,0.515625,0.140625,1,1,0.160156
127,0.527132,0.255814,0.217054,0.341085,0.519380,0.139535,1,1,0.160026
128,0.523077,0.261538,0.215385,0.338462,0.523077,0.138462,1,1,0.159882
129,0.519084,0.267176,0.213740,0.335878,0.526718,0.137405,1,1,0.159723
130,0.515152,0.272727,0.212121,0.333333,0.530303,0.136364,1,1,0.159550
131,0.511278,0.278195,0.210526,0.330827,0.533835,0.135338,1,1,0.159365
132,0.507463,0.283582,0.208955,0.328358,0.537313,0.134328,1,1,0.159167
133,0.503704,0.288889,0.207407,0.325926,0.540741,0.133333,1,1,0.158957
134,0.500000,0.294118,0.205882,0.323529,0.544118,0.132353,1,1,0.158737
135,0.496350,0.299270,0.204380,0.321168,0.547445,0.131387,1,1,0.158506
136,0.492754,0.304348,0.202899,0.318841,0.550725,0.130435,1,1,0.158265
137,0.489209,0.309353,0.201439,0.316547,0.553957,0.129496,1,1,0.158015
138,0.485714,0.314286,0.200000,0.314286,0.557143,0.128571,1,1,0.157755
139,0.482270,0.319149,0.198582,0.312057,0.560284,0.127660,1,1,0.157487
140,0.478873,0.323944,0.197183,0.309859,0.563380,0.126761,1,1,0.157211
141,0.475524,0.328671,0.195804,0.307692,0.566434,0.125874,1,1,0.156927
142,0.472222,0.333333,0.194444,0.305556,0.569444,0.125000,1,1,0.156636
143,0.468966,0.337931,0.193103,0.303448,0.572414,0.124138,1,1,0.156338
144,0.465753,0.342466,0.191781,0.301370,0.575342,0.123288,1,1,0.156033
145,0.462585,0.346939,0.190476,0.299320,0.578231,0.122449,1,1,0.155722
146,0.459459,0.351351,0.189189,0.297297,0.581081,0.121622,1,1,0.155405
147,0.456376,0.355705,0.187919,0.295302,0.583893,0.120805,1,1,0.155083
148,0.453333,0.360000,0.186667,0.293333,0.586667,0.120000,1,1,0.154756
149,0.450331,0.364238,0.185430,0.291391,0.589404,0.119205,1,1,0.154423
150,0.447368,0.368421,0.184211,0.289474,0.592105,0.118421,1,1,0.154086
151,0.444444,0.372549,0.183007,0.287582,0.594771,0.117647,1,1,0.153744
152,0.441558,0.376623,0.181818,0.285714,0.597403,0.116883,1,1,0.153399
153,0.438710,0.380645,0.180645,0.283871,0.600000,0.116129,1,1,0.153049
154,0.435897,0.384615,0.179487,0.282051,0.602564,0.115385,1,1,0.152696
155,0.433121,0.388535,0.178344,0.280255,0.605096,0.114650,1,1,0.152339
156,0.430380,0.392405,0.177215,0.278481,0.607595,0.113924,1,1,0.151979
157,0.427673,0.396226,0.176101,0.276730,0.610063,0.113208,1,1,0.151616
158,0.425000,0.400000,0.175000,0.275000,0.612500,0.112500,1,1,0.151250
159,0.422360,0.403727,0.173913,0.273292,0.614907,0.111801,1,1,0.150882
160,0.419753,0.407407,0.172840,0.271605,0.617284,0.111111,1,1,0.150511
161,0.417178,0.411043,0.171779,0.269939,0.619632,0.110429,1,1,0.150137
162,0.414634,0.414634,0.170732,0.268293,0.621951,0.109756,1,1,0.149762
163,0.412121,0.418182,0.169697,0.266667,0.624242,0.109091,1,1,0.152415
164,0.409639,0.421687,0.168675,0.265060,0.620482,0.114458,1,2,0.152744
165,0.407186,0.425150,0.167665,0.263473,0.616766,0.119760,1,2,0.153053
166,0.404762,0.428571,0.166667,0.261905,0.613095,0.125000,1,2,0.153345
167,0.402367,0.431953,0.165680,0.260355,0.609467,0.130178,1,2,0.153619
168,0.400000,0.435294,0.164706,0.258824,0.605882,0.135294,1,2,0.153875
169,0.397661,0.438596,0.163743,0.257310,0.602339,0.140351,1,2,0.154116
170,0.395349,0.441860,0.162791,0.255814,0.598837,0.145349,1,2,0.154340
171,0.393064,0.445087,0.161850,0.254335,0.595376,0.150289,1,2,0.154549
172,0.390805,0.448276,0.160920,0.252874,0.591954,0.155172,1,2,0.154743
173,0.388571,0.451429,0.160000,0.251429,0.588571,0.160000,1,2,0.154922
174,0.386364,0.454545,0.159091,0.250000,0.585227,0.164773,1,2,0.155088
175,0.384181,0.457627,0.158192,0.248588,0.581921,0.169492,1,2,0.155240
176,0.382022,0.460674,0.157303,0.247191,0.578652,0.174157,1,2,0.155378
177,0.379888,0.463687,0.156425,0.245810,0.575419,0.178771,1,2,0.155504
178,0.377778,0.466667,0.155556,0.244444,0.572222,0.183333,1,2,0.155617
179,0.375691,0.469613,0.154696,0.243094,0.569061,0.187845,1,2,0.155719
180,0.373626,0.472527,0.153846,0.241758,0.565934,0.192308,1,2,0.155808
181,0.371585,0.475410,0.153005,0.240437,0.562842,0.196721,1,2,0.155887
182,0.369565,0.478261,0.152174,0.239130,0.559783,0.201087,1,2,0.155955
183,0.367568,0.481081,0.151351,0.237838,0.556757,0.205405,1,2,0.156012
184,0.365591,0.483871,0.150538,0.236559,0.553763,0.209677,1,2,0.156059
185,0.363636,0.486631,0.149733,0.235294,0.550802,0.213904,1,2,0.156095
186,0.361702,0.489362,0.148936,0.234043,0.547872,0.218085,1,2,0.156123
187,0.359788,0.492063,0.148148,0.232804,0.544974,0.222222,1,2,0.156141
188,0.357895,0.494737,0.147368,0.231579,0.542105,0.226316,1,2,0.156150
189,0.356021,0.497382,0.146597,0.230366,0.539267,0.230366,1,2,0.156150
190,0.354167,0.500000,0.145833,0.229167,0.536458,0.234375,1,2,0.156141
191,0.352332,0.502591,0.145078,0.227979,0.533679,0.238342,1,2,0.156125
192,0.350515,0.505155,0.144330,0.226804,0.530928,0.242268,1,2,0.156101
193,0.348718,0.507692,0.143590,0.225641,0.528205,0.246154,1,2,0.156068
194,0.346939,0.510204,0.142857,0.224490,0.525510,0.250000,1,2,0.156029
195,0.345178,0.512690,0.142132,0.223350,0.522843,0.253807,1,2,0.155982
