iteration,p0_avg_heads,p0_avg_tails,p1_avg_heads,p1_avg_tails,p0_best_response,p1_best_response,full_exploitability
93,0.521277,0.478723,0.553191,0.446809,0,1,7.446809e-02
94,0.526316,0.473684,0.547368,0.452632,0,1,7.368421e-02
95,0.531250,0.468750,0.541667,0.458333,0,1,7.291667e-02
96,0.536082,0.463918,0.536082,0.463918,0,1,7.216495e-02
97,0.540816,0.459184,0.530612,0.469388,0,1,7.142857e-02
98,0.545455,0.454545,0.525253,0.474747,0,1,7.070707e-02
99,0.550000,0.450000,0.520000,0.480000,0,1,7.000000e-02
100,0.554455,0.445545,0.514851,0.485149,0,1,6.930693e-02
101,0.558824,0.441176,0.509804,0.490196,0,1,6.862745e-02
102,0.563107,0.436893,0.504854,0.495146,0,1,6.796117e-02
103,0.567308,0.432692,0.500000,0.500000,0,1,6.730769e-02
104,0.571429,0.428571,0.495238,0.504762,0,1,7.619048e-02
105,0.566038,0.433962,0.490566,0.509434,1,1,7.547170e-02
106,0.560748,0.439252,0.485981,0.514019,1,1,7.476636e-02
107,0.555556,0.444444,0.481481,0.518519,1,1,7.407407e-02
108,0.550459,0.449541,0.477064,0.522936,1,1,7.339450e-02
109,0.545455,0.454545,0.472727,0.527273,1,1,7.272727e-02
110,0.540541,0.459459,0.468468,0.531532,1,1,7.207207e-02
111,0.535714,0.464286,0.464286,0.535714,1,1,7.142857e-02
112,0.530973,0.469027,0.460177,0.539823,1,1,7.079646e-02
113,0.526316,0.473684,0.456140,0.543860,1,1,7.017544e-02
114,0.521739,0.478261,0.452174,0.547826,1,1,6.956522e-02
115,0.517241,0.482759,0.448276,0.551724,1,1,6.896552e-02
116,0.512821,0.487179,0.444444,0.555556,1,1,6.837607e-02
117,0.508475,0.491525,0.440678,0.559322,1,1,6.779661e-02
118,0.504202,0.495798,0.436975,0.563025,1,1,6.722689e-02
119,0.500000,0.500000,0.433333,0.566667,1,1,6.666667e-02
120,0.495868,0.504132,0.438017,0.561983,1,0,6.611570e-02
121,0.491803,0.508197,0.442623,0.557377,1,0,6.557377e-02
122,0.487805,0.512195,0.447154,0.552846,1,0,6.504065e-02
123,0.483871,0.516129,0.451613,0.548387,1,0,6.451613e-02
124,0.480000,0.520000,0.456000,0.544000,1,0,6.400000e-02
125,0.476190,0.523810,0.460317,0.539683,1,0,6.349206e-02
126,0.472441,0.527559,0.464567,0.535433,1,0,6.299213e-02
127,0.468750,0.531250,0.468750,0.531250,1,0,6.250000e-02
128,0.465116,0.534884,0.472868,0.527132,1,0,6.201550e-02
129,0.461538,0.538462,0.476923,0.523077,1,0,6.153846e-02
130,0.458015,0.541985,0.480916,0.519084,1,0,6.106870e-02
131,0.454545,0.545455,0.484848,0.515152,1,0,6.060606e-02
132,0.451128,0.548872,0.488722,0.511278,1,0,6.015038e-02
133,0.447761,0.552239,0.492537,0.507463,1,0,5.970149e-02
134,0.444444,0.555556,0.496296,0.503704,1,0,5.925926e-02
135,0.441176,0.558824,0.500000,0.500000,1,0,5.882353e-02
136,0.445255,0.554745,0.503650,0.496350,0,0,5.839416e-02
137,0.449275,0.550725,0.507246,0.492754,0,0,5.797101e-02
138,0.453237,0.546763,0.510791,0.489209,0,0,5.755396e-02
139,0.457143,0.542857,0.514286,0.485714,0,0,5.714286e-02
140,0.460993,0.539007,0.517730,0.482270,0,0,5.673759e-02
141,0.464789,0.535211,0.521127,0.478873,0,0,5.633803e-02
142,0.468531,0.531469,0.524476,0.475524,0,0,5.594406e-02
143,0.472222,0.527778,0.527778,0.472222,0,0,5.555556e-02
144,0.475862,0.524138,0.531034,0.468966,0,0,5.517241e-02
145,0.479452,0.520548,0.534247,0.465753,0,0,5.479452e-02
146,0.482993,0.517007,0.537415,0.462585,0,0,5.442177e-02
147,0.486486,0.513514,0.540541,0.459459,0,0,5.405405e-02
148,0.489933,0.510067,0.543624,0.456376,0,0,5.369128e-02
149,0.493333,0.506667,0.546667,0.453333,0,0,5.333333e-02
150,0.496689,0.503311,0.549669,0.450331,0,0,5.298013e-02
151,0.500000,0.500000,0.552632,0.447368,0,0,5.263158e-02
