step,p0_heads,p1_heads
265,0.505802,0.550804
266,0.464643,0.585744
267,0.504549,0.616172
268,0.544776,0.569847
269,0.578537,0.529450
270,0.533294,0.484765
271,0.566910,0.525040
272,0.528312,0.487049
273,0.556968,0.521289
274,0.524072,0.488991
275,0.473658,0.536459
276,0.520466,0.490642
277,0.560003,0.451791
278,0.591368,0.493491
279,0.617465,0.529030
280,0.567487,0.569023
281,0.523854,0.602344
282,0.557461,0.558774
283,0.585631,0.520985
284,0.609151,0.488658
285,0.644293,0.536103
286,0.663110,0.501549
287,0.678710,0.472153
288,0.691666,0.447310
289,0.718225,0.500855
290,0.665239,0.455167
291,0.616597,0.416888
292,0.573285,0.385103
293,0.525941,0.430338
294,0.560000,0.475581
295,0.595869,0.439685
296,0.551068,0.479239
297,0.586421,0.523464
298,0.615800,0.560794
299,0.640134,0.592010
300,0.660271,0.617981
301,0.620001,0.578456
302,0.565823,0.616937
303,0.592380,0.638526
304,0.556040,0.599908
305,0.598376,0.545778
306,0.633268,0.498847
307,0.661881,0.458939
308,0.685313,0.425406
309,0.704940,0.470977
310,0.659609,0.436464
311,0.677060,0.475323
312,0.636989,0.445913
313,0.652319,0.479020
314,0.665108,0.507318
315,0.606947,0.556909
316,0.570335,0.524499
317,0.611740,0.473608
318,0.574524,0.446052
319,0.542195,0.422881
320,0.514421,0.403444
321,0.565360,0.362550
322,0.512259,0.417641
323,0.466857,0.466204
324,0.503173,0.504351
325,0.546651,0.461895
326,0.508858,0.429178
327,0.539685,0.467593
328,0.491044,0.514390
329,0.533752,0.472443
330,0.569694,0.437069
331,0.602270,0.481413
332,0.629276,0.519364
333,0.657617,0.476665
334,0.680862,0.440613
335,0.699942,0.410439
336,0.655674,0.449455
337,0.683861,0.498043
338,0.700035,0.464549
339,0.713404,0.436318
340,0.660788,0.396341
341,0.681009,0.373390
342,0.638021,0.411535
343,0.655804,0.391730
344,0.618165,0.424585
345,0.584996,0.453058
346,0.600968,0.435761
347,0.541346,0.386968
348,0.586151,0.445313
349,0.623175,0.496189
350,0.653570,0.539537
351,0.678467,0.575944
352,0.698866,0.606271
353,0.718033,0.559307
354,0.734118,0.592434
355,0.688800,0.550477
356,0.703345,0.578820
357,0.715393,0.602517
358,0.661817,0.638819
359,0.612689,0.668493
360,0.640555,0.686693
361,0.665930,0.635419
362,0.686775,0.589219
363,0.637852,0.542945
364,0.660904,0.576062
365,0.685927,0.530185
366,0.704168,0.565376
367,0.654843,0.599349
368,0.678653,0.627979
369,0.698192,0.651636
370,0.653724,0.609455
371,0.681936,0.557816
372,0.704919,0.512870
