game_size,seed,algorithm,br_calls,full_exploitability
10,1,fictitious_play,8,3.814621e-01
10,1,double_oracle,9,2.324529e-16
10,1,fictitious_play,9,3.433159e-01
10,1,double_oracle,10,2.324529e-16
10,1,fictitious_play,10,3.184702e-01
10,1,double_oracle,11,2.324529e-16
10,1,fictitious_play,11,2.919310e-01
10,1,double_oracle,12,2.324529e-16
10,1,fictitious_play,12,3.255412e-01
10,1,double_oracle,13,2.324529e-16
10,1,fictitious_play,13,3.573099e-01
10,1,double_oracle,14,2.324529e-16
10,1,fictitious_play,14,3.455556e-01
10,1,double_oracle,15,2.324529e-16
10,1,fictitious_play,15,3.239584e-01
10,1,double_oracle,16,2.324529e-16
10,1,fictitious_play,16,3.049020e-01
10,1,double_oracle,17,2.324529e-16
10,1,fictitious_play,17,2.879630e-01
10,1,double_oracle,18,2.324529e-16
10,1,fictitious_play,18,2.728070e-01
10,1,double_oracle,19,2.324529e-16
10,1,fictitious_play,19,2.695920e-01
10,1,double_oracle,20,2.324529e-16
10,1,fictitious_play,20,2.567542e-01
10,1,double_oracle,21,2.324529e-16
10,1,fictitious_play,21,2.450836e-01
10,1,double_oracle,22,2.324529e-16
10,1,fictitious_play,22,2.344278e-01
10,1,double_oracle,23,2.324529e-16
10,1,fictitious_play,23,2.353413e-01
10,1,double_oracle,24,2.324529e-16
10,1,fictitious_play,24,2.259277e-01
10,1,double_oracle,25,2.324529e-16
10,1,fictitious_play,25,2.172382e-01
10,1,double_oracle,26,2.324529e-16
10,1,fictitious_play,26,2.201190e-01
10,1,double_oracle,27,2.324529e-16
10,1,fictitious_play,27,2.122576e-01
10,1,double_oracle,28,2.324529e-16
10,1,fictitious_play,28,2.049383e-01
10,1,double_oracle,29,2.324529e-16
10,1,fictitious_play,29,1.981071e-01
10,1,double_oracle,30,2.324529e-16
10,1,fictitious_play,30,2.078112e-01
10,1,double_oracle,31,2.324529e-16
10,1,fictitious_play,31,2.070824e-01
10,1,double_oracle,32,2.324529e-16
10,1,fictitious_play,32,2.008072e-01
10,1,double_oracle,33,2.324529e-16
10,1,fictitious_play,33,1.949011e-01
10,1,double_oracle,34,2.324529e-16
10,1,fictitious_play,34,1.893325e-01
10,1,double_oracle,35,2.324529e-16
10,1,fictitious_play,35,1.840732e-01
10,1,double_oracle,36,2.324529e-16
10,1,fictitious_play,36,1.790983e-01
10,1,double_oracle,37,2.324529e-16
10,1,fictitious_play,37,1.743852e-01
10,1,double_oracle,38,2.324529e-16
10,1,fictitious_play,38,1.858941e-01
10,1,double_oracle,39,2.324529e-16
10,1,fictitious_play,39,1.812468e-01
10,1,double_oracle,40,2.324529e-16
10,1,fictitious_play,40,1.768261e-01
10,1,double_oracle,41,2.324529e-16
10,1,fictitious_play,41,1.726160e-01
10,1,double_oracle,42,2.324529e-16
10,1,fictitious_play,42,1.686017e-01
10,1,double_oracle,43,2.324529e-16
10,1,fictitious_play,43,1.647698e-01
10,1,double_oracle,44,2.324529e-16
10,1,fictitious_play,44,1.611083e-01
10,1,double_oracle,45,2.324529e-16
10,1,fictitious_play,45,1.576059e-01
10,1,double_oracle,46,2.324529e-16
10,1,fictitious_play,46,1.542526e-01
10,1,double_oracle,47,2.324529e-16
10,1,fictitious_play,47,1.510390e-01
10,1,double_oracle,48,2.324529e-16
10,1,fictitious_play,48,1.479566e-01
10,1,double_oracle,49,2.324529e-16
10,1,fictitious_play,49,1.462059e-01
10,1,double_oracle,50,2.324529e-16
10,1,fictitious_play,50,1.433391e-01
10,1,double_oracle,51,2.324529e-16
10,1,fictitious_play,51,1.476392e-01
10,1,double_oracle,52,2.324529e-16
10,1,fictitious_play,52,1.448535e-01
10,1,double_oracle,53,2.324529e-16
10,1,fictitious_play,53,1.473780e-01
10,1,double_oracle,54,2.324529e-16
10,1,fictitious_play,54,1.446984e-01
10,1,double_oracle,55,2.324529e-16
10,1,fictitious_play,55,1.421145e-01
10,1,double_oracle,56,2.324529e-16
10,1,fictitious_play,56,1.396213e-01
10,1,double_oracle,57,2.324529e-16
10,1,fictitious_play,57,1.372140e-01
10,1,double_oracle,58,2.324529e-16
10,1,fictitious_play,58,1.348884e-01
10,1,double_oracle,59,2.324529e-16
10,1,fictitious_play,59,1.516319e-01
10,1,double_oracle,60,2.324529e-16
10,1,fictitious_play,60,1.491461e-01
10,2,double_oracle,1,6.763696e-01
10,2,fictitious_play,1,9.646117e-01
10,2,double_oracle,2,1.395646e+00
10,2,fictitious_play,2,8.932022e-01
10,2,double_oracle,3,5.817778e-01
10,2,fictitious_play,3,6.699016e-01
10,2,double_oracle,4,2.004518e+00
10,2,fictitious_play,4,7.259769e-01
10,2,double_oracle,5,3.988946e-01
10,2,fictitious_play,5,6.367660e-01
10,2,double_oracle,6,3.068763e-01
10,2,fictitious_play,6,5.457994e-01
10,2,double_oracle,7,3.330669e-16
10,2,fictitious_play,7,6.145343e-01
10,2,double_oracle,8,3.330669e-16
10,2,fictitious_play,8,5.517421e-01
10,2,double_oracle,9,3.330669e-16
10,2,fictitious_play,9,4.965679e-01
10,2,double_oracle,10,3.330669e-16
10,2,fictitious_play,10,4.514253e-01
10,2,double_oracle,11,3.330669e-16
10,2,fictitious_play,11,4.138066e-01
10,2,double_oracle,12,3.330669e-16
10,2,fictitious_play,12,4.218484e-01
10,2,double_oracle,13,3.330669e-16
10,2,fictitious_play,13,3.917164e-01
10,2,double_oracle,14,3.330669e-16
10,2,fictitious_play,14,4.022245e-01
10,2,double_oracle,15,3.330669e-16
10,2,fictitious_play,15,3.770855e-01
10,2,double_oracle,16,3.330669e-16
10,2,fictitious_play,16,3.549040e-01
10,2,double_oracle,17,3.330669e-16
10,2,fictitious_play,17,3.351871e-01
10,2,double_oracle,18,3.330669e-16
10,2,fictitious_play,18,3.175456e-01
10,2,double_oracle,19,3.330669e-16
10,2,fictitious_play,19,3.800802e-01
10,2,double_oracle,20,3.330669e-16
10,2,fictitious_play,20,3.619811e-01
10,2,double_oracle,21,3.330669e-16
10,2,fictitious_play,21,3.455275e-01
10,2,double_oracle,22,3.330669e-16
10,2,fictitious_play,22,3.880358e-01
10,2,double_oracle,23,3.330669e-16
10,2,fictitious_play,23,3.718676e-01
10,2,double_oracle,24,3.330669e-16
10,2,fictitious_play,24,3.569929e-01
10,2,double_oracle,25,3.330669e-16
10,2,fictitious_play,25,3.432624e-01
10,2,double_oracle,26,3.330669e-16
10,2,fictitious_play,26,3.305490e-01
10,2,double_oracle,27,3.330669e-16
10,2,fictitious_play,27,3.187437e-01
10,2,double_oracle,28,3.330669e-16
10,2,fictitious_play,28,3.077525e-01
10,2,double_oracle,29,3.330669e-16
10,2,fictitious_play,29,3.114984e-01
10,2,double_oracle,30,3.330669e-16
10,2,fictitious_play,30,3.014501e-01
10,2,double_oracle,31,3.330669e-16
10,2,fictitious_play,31,2.920297e-01
10,2,double_oracle,32,3.330669e-16
10,2,fictitious_play,32,2.831804e-01
10,2,double_oracle,33,3.330669e-16
10,2,fictitious_play,33,2.748515e-01
10,2,double_oracle,34,3.330669e-16
10,2,fictitious_play,34,2.669986e-01
10,2,double_oracle,35,3.330669e-16
10,2,fictitious_play,35,2.625218e-01
10,2,double_oracle,36,3.330669e-16
10,2,fictitious_play,36,2.554266e-01
10,2,double_oracle,37,3.330669e-16
10,2,fictitious_play,37,2.487049e-01
10,2,double_oracle,38,3.330669e-16
10,2,fictitious_play,38,2.423278e-01
10,2,double_oracle,39,3.330669e-16
10,2,fictitious_play,39,2.532835e-01
10,2,double_oracle,40,3.330669e-16
10,2,fictitious_play,40,2.471059e-01
10,2,double_oracle,41,3.330669e-16
10,2,fictitious_play,41,2.615303e-01
10,2,double_oracle,42,3.330669e-16
10,2,fictitious_play,42,2.595628e-01
10,2,double_oracle,43,3.330669e-16
10,2,fictitious_play,43,2.536637e-01
10,2,double_oracle,44,3.330669e-16
10,2,fictitious_play,44,2.480267e-01
10,2,double_oracle,45,3.330669e-16
10,2,fictitious_play,45,2.426348e-01
10,2,double_oracle,46,3.330669e-16
10,2,fictitious_play,46,2.374724e-01
10,2,double_oracle,47,3.330669e-16
10,2,fictitious_play,47,2.325250e-01
10,2,double_oracle,48,3.330669e-16
10,2,fictitious_play,48,2.277796e-01
10,2,double_oracle,49,3.330669e-16
10,2,fictitious_play,49,2.232240e-01
10,2,double_oracle,50,3.330669e-16
10,2,fictitious_play,50,2.307681e-01
10,2,double_oracle,51,3.330669e-16
10,2,fictitious_play,51,2.263303e-01
10,2,double_oracle,52,3.330669e-16
10,2,fictitious_play,52,2.220599e-01
10,2,double_oracle,53,3.330669e-16
10,2,fictitious_play,53,2.179477e-01
10,2,double_oracle,54,3.330669e-16
10,2,fictitious_play,54,2.139850e-01
10,2,double_oracle,55,3.330669e-16
10,2,fictitious_play,55,2.101638e-01
10,2,double_oracle,56,3.330669e-16
10,2,fictitious_play,56,2.064767e-01
10,2,double_oracle,57,3.330669e-16
10,2,fictitious_play,57,2.029168e-01
10,2,double_oracle,58,3.330669e-16
10,2,fictitious_play,58,2.074261e-01
10,2,double_oracle,59,3.330669e-16
10,2,fictitious_play,59,2.039690e-01
10,2,double_oracle,60,3.330669e-16
10,2,fictitious_play,60,2.006252e-01
10,3,double_oracle,1,1.823437e+00
10,3,fictitious_play,1,1.049317e+00
10,3,double_oracle,2,1.099036e+00
10,3,fictitious_play,2,6.995448e-01
10,3,double_oracle,3,4.159847e-01
10,3,fictitious_play,3,5.272143e-01
10,3,double_oracle,4,7.486286e-01
10,3,fictitious_play,4,4.963625e-01
10,3,double_oracle,5,2.894923e-01
10,3,fictitious_play,5,4.136354e-01
10,3,double_oracle,6,4.397758e-01
10,3,fictitious_play,6,3.545446e-01
10,3,double_oracle,7,3.204356e-01
10,3,fictitious_play,7,3.102265e-01
10,3,double_oracle,8,5.578299e-02
